,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,1.15,0.35,1.07,0.65,0.82,1.03,0.93,0.92,0.98,0.84
TEMP_0,0.38,1.3,0.8,1.13,1.12,0.67,1.04,0.8,1.02,0.84
PRES_0,1.05,0.71,1.13,0.26,0.83,1.01,0.96,0.87,0.97,0.86
PRES_1,0.72,1.18,0.3,1.37,1.16,0.62,1.01,0.89,1.05,0.8
DEWP_0,0.84,1.04,0.85,1.04,1.18,0.32,0.93,0.94,1.0,0.8
DEWP_1,1.1,0.66,1.12,0.57,0.34,1.27,1.04,0.79,0.99,0.89
WSPM_0,0.91,0.94,0.96,0.87,0.9,0.94,1.07,0.6,0.97,0.86
WSPM_1,1.06,0.81,1.01,0.91,1.05,0.85,0.69,1.23,1.05,0.79
PM10_0,0.94,0.88,0.94,0.88,0.95,0.87,0.93,0.9,1.07,0.42
PM10_1,1.0,0.96,1.07,0.84,0.95,1.02,1.09,0.79,0.54,1.43
