,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,537.01,1.0,132.34,1.08,3.06,1.27,2.26,42.68
PRES_0,1.0,1.0,655.1,1.0,131.81,1.08,3.05,1.26,2.25,42.51
PRES_1,,,,,,,,,,
DEWP_1,0.99,0.99,528.75,0.99,148.73,1.07,3.02,1.25,2.23,43.12
DEWP_0,,,,,,,,,,
WSPM_0,0.63,0.63,439.19,0.63,87.7,0.68,1.94,0.79,1.39,26.12
WSPM_1,,,,,0.31,,0.01,,0.01,0.15
PM10_0,0.3,0.31,134.09,0.31,39.07,0.33,0.94,0.37,0.75,19.81
PM10_1,0.02,0.02,,0.02,3.14,0.03,0.07,0.03,0.05,0.71
PM10_2,,,,,,,,,,
