,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.11,1.0,0.19,1.02,0.92,0.98,0.87,0.36
PRES_0,1.0,1.0,,1.0,0.19,1.02,0.93,0.98,0.87,0.36
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.11,1.0,0.15,1.02,0.92,0.98,0.87,0.36
DEWP_0,2.05,2.05,,1.9,3.79,1.96,2.18,2.15,1.87,
WSPM_0,1.02,1.02,0.12,1.02,0.16,1.04,0.9,1.0,0.88,0.37
WSPM_1,1.28,1.28,,1.28,0.45,1.29,1.44,1.24,1.16,0.36
PM10_0,1.05,1.05,0.14,1.05,0.24,1.07,1.02,1.1,0.78,0.29
PM10_1,1.16,1.16,,1.16,,1.19,0.95,1.0,1.32,0.52
PM10_2,1.81,1.81,,1.81,,1.84,1.56,1.16,2.13,2.64
