,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,2.1,1.0,2.38,1.17,4.06,1.31,2.05,5.06
PRES_0,1.0,1.0,1.2,1.0,2.39,1.17,4.06,1.31,2.05,5.07
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,2.11,1.0,1.6,1.17,4.05,1.31,2.05,5.04
DEWP_0,0.92,0.92,,0.82,179.84,1.05,5.31,1.37,2.04,
WSPM_0,1.0,1.0,2.46,1.0,1.68,1.17,3.8,1.31,2.04,5.16
WSPM_1,1.0,1.0,,1.0,6.55,1.16,5.56,1.32,2.09,4.51
PM10_0,1.0,1.0,3.12,1.0,3.2,1.17,4.28,1.47,1.55,2.9
PM10_1,1.0,1.0,,1.0,,1.16,3.55,1.07,3.25,8.45
PM10_2,1.0,1.0,,1.0,,1.17,3.45,0.74,3.32,75.42
