,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.01,1.0,0.02,0.95,0.37,0.81,0.49,0.05
PRES_0,1.0,1.0,,1.0,0.02,0.95,0.37,0.81,0.49,0.05
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.01,1.0,0.01,0.95,0.37,0.81,0.49,0.05
DEWP_0,4.01,4.01,,3.16,0.95,3.11,2.03,3.56,,
WSPM_0,1.04,1.04,0.01,1.04,0.01,1.0,0.35,0.84,0.51,0.05
WSPM_1,1.62,1.62,,1.62,0.07,1.48,0.86,1.3,0.8,0.06
PM10_0,1.1,1.1,0.01,1.1,0.03,1.05,0.43,0.99,0.4,0.04
PM10_1,1.36,1.36,,1.36,,1.3,0.42,0.84,0.95,0.08
PM10_2,3.26,3.26,,3.26,,3.08,1.17,1.29,2.29,0.8
