,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.06,1.0,0.14,1.08,1.39,1.06,1.04,0.41
PRES_0,1.0,1.0,,1.0,0.15,1.08,1.39,1.06,1.04,0.41
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.06,1.0,0.09,1.08,1.39,1.05,1.04,0.41
DEWP_0,0.97,0.97,,0.82,12.73,0.97,2.02,1.19,1.05,
WSPM_0,1.0,1.0,0.07,1.0,0.1,1.08,1.27,1.05,1.04,0.43
WSPM_1,1.0,1.0,,1.0,0.44,1.06,2.07,1.06,1.03,0.3
PM10_0,1.0,1.0,0.1,1.0,0.2,1.08,1.47,1.2,0.75,0.22
PM10_1,1.0,1.0,,1.0,,1.08,1.19,0.82,1.74,0.7
PM10_2,1.0,1.0,,1.0,,1.08,1.21,0.5,1.79,6.95
