,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,,0.97,0.13,1.0,0.01,0.95,0.59,0.78,0.59,0.23
TEMP_1,,,,,,,,,,,
PRES_1,1.0,,1.0,0.07,1.0,0.01,0.95,0.6,0.8,0.57,0.22
PRES_0,1.0,,0.67,0.94,1.0,0.04,1.0,0.41,0.55,0.89,0.41
DEWP_0,1.0,,0.97,0.13,1.0,0.01,0.95,0.59,0.78,0.59,0.23
DEWP_1,1.0,,1.0,,1.0,0.74,1.0,,,0.68,
WSPM_0,1.0,0.01,0.97,0.13,1.0,0.01,0.99,0.47,0.73,0.66,0.26
WSPM_1,1.0,,0.98,0.12,1.0,,0.86,0.93,0.92,0.4,0.16
PM10_0,1.0,,0.99,0.09,1.0,,0.93,0.77,0.98,0.4,0.08
PM10_1,1.0,0.01,0.96,0.19,1.0,0.01,0.99,0.37,0.61,0.94,0.25
PM10_2,1.0,,0.95,0.21,1.0,0.03,0.99,0.22,0.23,0.68,0.93
