,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.31,1.0,0.34,0.91,0.37,0.82,0.58,0.24
PRES_0,1.0,1.0,0.38,1.0,0.34,0.91,0.37,0.82,0.58,0.24
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.31,1.0,0.39,0.91,0.37,0.82,0.58,0.24
DEWP_0,5.75,5.75,,5.73,0.24,5.23,1.78,4.53,3.28,0.34
WSPM_0,1.05,1.05,0.42,1.05,0.38,0.95,0.39,0.86,0.59,0.24
WSPM_1,1.8,1.8,,1.79,0.47,1.64,0.6,1.45,1.18,0.48
PM10_0,1.13,1.13,0.29,1.13,0.37,1.03,0.42,0.89,0.71,0.4
PM10_1,1.45,1.45,,1.44,0.48,1.32,0.51,1.25,0.7,0.23
PM10_2,4.13,4.13,,4.12,,3.76,1.48,3.93,2.09,0.29
