,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.07,1.0,0.16,1.08,1.55,1.08,1.1,0.48
PRES_0,1.0,1.0,0.04,1.0,0.16,1.08,1.55,1.08,1.1,0.48
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.07,1.0,0.11,1.08,1.54,1.08,1.1,0.47
DEWP_0,0.92,0.92,,0.82,11.96,0.97,2.02,1.13,1.1,
WSPM_0,1.0,1.0,0.08,1.0,0.11,1.08,1.45,1.08,1.1,0.48
WSPM_1,1.0,1.0,,1.0,0.44,1.07,2.12,1.08,1.12,0.42
PM10_0,1.0,1.0,0.11,1.0,0.21,1.08,1.63,1.2,0.84,0.27
PM10_1,1.0,1.0,,1.0,,1.08,1.35,0.88,1.75,0.79
PM10_2,1.0,1.0,,1.0,,1.08,1.31,0.61,1.79,7.09
