,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,4474.26,1.14,36.28,1.0,2559.94,1.8,10.8,2.52,8.68,25.73
TEMP_1,,,,,,,,,,,
PRES_1,1.0,5566.13,1.15,24.18,1.0,2244.47,1.8,10.95,2.54,8.49,24.8
PRES_0,1.0,,1.02,197.92,1.01,6742.94,1.83,8.69,2.24,11.25,37.79
DEWP_0,1.0,5194.88,1.14,36.02,1.0,2311.47,1.8,10.82,2.52,8.68,25.67
DEWP_1,1.0,,1.16,,1.01,86184.0,1.83,,2.15,10.53,
WSPM_0,1.0,5638.89,1.14,35.36,1.0,1926.24,1.82,9.61,2.43,9.16,27.06
WSPM_1,1.0,,1.14,38.73,1.01,,1.74,14.14,2.77,7.32,21.87
PM10_0,1.0,5720.38,1.14,31.14,1.0,2581.44,1.78,13.21,2.88,7.13,14.33
PM10_1,1.0,6270.06,1.14,43.95,1.0,2223.18,1.82,8.32,2.38,11.35,28.15
PM10_2,1.0,,1.13,45.37,1.0,3559.07,1.83,4.61,1.11,9.98,76.2
