,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,,0.97,0.69,1.0,0.44,0.84,0.61,0.85,0.67,0.68
TEMP_1,,,,,,,,,,,
PRES_1,1.0,0.47,0.93,1.76,1.0,0.57,0.84,0.6,0.83,0.7,0.73
PRES_0,1.0,,2.05,0.08,1.01,,0.81,0.79,1.38,0.41,0.36
DEWP_0,1.0,0.5,0.97,0.69,1.0,0.63,0.84,0.61,0.85,0.67,0.68
DEWP_1,1.0,,0.98,,1.18,,0.83,,,0.5,
WSPM_0,1.0,0.37,0.98,0.6,1.0,0.35,0.76,0.98,0.98,0.55,0.54
WSPM_1,1.0,,0.96,1.16,1.0,,1.22,0.29,0.63,1.63,2.36
PM10_0,1.0,0.31,0.95,1.29,1.0,,0.89,0.45,0.6,1.38,7.56
PM10_1,1.0,,1.01,0.4,1.0,0.23,0.77,1.24,1.68,0.32,0.61
PM10_2,1.0,,1.0,0.43,1.0,0.11,0.78,1.35,4.92,0.69,0.12
