,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.0,0.96,0.93,0.94,0.92,0.89,0.87,0.88,0.84,0.85,0.88,0.88,0.81,0.79,0.76,0.77,1.39,0.95,1.39,0.97,1.43,1.43,,1.43,0.53,1.43,0.5,1.39,1.01
ENE,1.02,1.0,0.93,0.95,0.92,0.91,0.85,0.88,0.87,0.91,0.88,0.85,0.81,0.8,0.78,0.82,1.39,0.98,1.41,0.94,1.45,1.45,,1.45,,1.45,0.58,1.41,1.05
ESE,1.05,1.04,1.0,0.97,0.95,0.92,0.96,0.94,0.94,0.89,0.88,0.94,0.79,0.77,0.82,0.76,1.47,1.0,1.48,0.97,1.5,1.5,,1.5,,1.5,0.51,1.46,1.07
NE,1.04,1.04,0.99,1.0,0.99,0.98,0.94,0.89,0.87,0.88,0.96,0.91,0.94,0.87,0.93,0.95,1.49,1.01,1.49,1.05,1.53,1.53,,1.53,,1.53,0.62,1.49,1.1
SSW,1.15,1.11,1.07,1.09,1.0,1.0,1.0,0.99,1.0,0.96,0.9,0.91,0.82,0.78,0.78,0.79,1.52,1.0,1.53,1.0,1.56,1.56,,1.56,,1.56,,1.52,1.11
SW,1.09,1.14,1.04,1.04,1.02,1.0,0.98,1.01,1.02,0.99,0.94,0.93,0.84,0.77,0.85,0.78,1.52,1.04,1.53,1.0,1.57,1.57,,1.57,,1.57,0.54,1.53,1.13
NNE,1.07,1.1,1.03,1.05,0.97,1.04,1.0,0.91,0.93,0.94,0.99,1.0,0.97,0.97,0.82,0.88,1.57,1.23,1.58,1.13,1.61,1.61,,1.61,,1.61,0.81,1.57,1.16
SE,1.14,1.13,1.07,1.05,0.98,1.0,1.09,1.0,0.96,0.97,0.95,1.05,0.92,0.92,0.81,0.8,1.58,1.08,1.57,1.04,1.62,1.62,,1.61,,1.62,0.58,1.57,1.16
S,1.15,1.18,1.14,1.1,1.01,1.02,1.09,1.02,1.0,0.95,0.96,0.96,0.98,0.98,0.86,0.86,1.58,1.06,1.59,1.06,1.62,1.62,,1.62,,1.62,0.56,1.58,1.18
SSE,1.17,1.16,1.17,1.13,1.1,1.02,1.1,1.04,1.04,1.0,0.92,0.95,0.94,0.92,0.9,0.9,1.62,1.05,1.63,1.02,1.65,1.65,,1.65,,1.65,0.6,1.61,1.17
WSW,1.12,1.08,1.11,1.01,1.08,1.07,0.98,1.15,1.16,1.09,1.0,0.99,0.99,0.88,0.88,0.92,1.62,1.14,1.62,1.11,1.66,1.66,,1.66,,1.66,0.63,1.61,1.22
N,1.15,1.14,1.06,1.12,1.1,1.13,1.04,0.95,0.98,1.0,1.03,1.01,0.92,0.94,0.95,0.87,1.64,1.28,1.63,1.11,1.67,1.67,,1.67,,1.67,0.81,1.63,1.18
NW,1.15,1.16,1.18,1.08,1.16,1.18,1.03,1.03,1.12,1.1,1.08,1.05,1.0,0.99,0.94,0.89,1.7,2.26,1.71,1.61,1.75,1.75,,1.75,,1.75,0.97,1.7,1.26
NNW,1.28,1.25,1.33,1.18,1.27,1.28,1.08,1.07,1.07,1.03,1.12,1.1,1.03,1.02,0.91,0.92,1.79,2.01,1.8,1.65,1.83,1.83,,1.83,0.59,1.83,,1.78,1.32
WNW,1.38,1.28,1.3,1.15,1.24,1.13,1.22,1.27,1.19,1.07,1.09,1.08,1.08,0.99,1.0,1.01,1.8,1.98,1.82,1.54,1.86,1.86,,1.86,,1.86,,1.81,1.33
W,1.28,1.25,1.23,1.11,1.26,1.3,1.14,1.17,1.18,1.15,1.21,1.12,1.15,0.97,1.01,1.0,1.82,1.4,1.83,1.31,1.87,1.87,,1.87,,1.87,,1.82,1.43
PM2.5_0,0.72,0.71,0.68,0.67,0.65,0.65,0.64,0.62,0.62,0.61,0.62,0.63,0.61,0.59,0.57,0.55,1.0,0.7,1.01,0.68,1.03,1.03,0.32,1.03,0.41,1.03,0.43,1.0,0.74
PM2.5_1,1.03,0.97,0.98,0.92,0.93,0.91,0.84,1.02,0.99,0.91,0.86,0.78,0.44,0.54,0.57,0.76,1.41,1.0,1.41,0.98,1.45,1.44,,1.44,,1.44,0.35,1.41,0.95
PM10_0,0.71,0.71,0.68,0.67,0.65,0.65,0.63,0.63,0.62,0.61,0.61,0.62,0.6,0.57,0.56,0.54,0.99,0.71,1.0,0.68,1.02,1.02,0.32,1.02,0.41,1.02,0.43,1.0,0.74
PM10_1,1.03,1.0,0.98,0.97,0.98,0.94,0.92,1.02,1.04,0.95,0.95,0.83,0.5,0.64,0.63,0.8,1.46,0.99,1.46,1.0,1.49,1.49,,1.49,,1.49,0.29,1.45,0.99
