,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.42,0.05,0.58,1.04,1.15,0.24,0.94,0.47,0.82,0.66,0.28
TEMP_0,0.05,1.52,1.14,0.21,0.45,1.18,0.94,0.46,0.77,0.64,0.49
PRES_1,0.53,1.0,1.26,0.04,0.62,0.95,0.92,0.51,0.84,0.59,0.38
PRES_0,1.25,0.23,0.06,1.81,1.21,0.16,0.97,0.37,0.71,0.76,0.38
DEWP_1,1.08,0.41,0.64,0.96,1.31,0.03,1.02,0.23,0.68,0.79,0.4
DEWP_0,0.28,1.28,1.18,0.15,0.03,1.74,0.81,0.84,0.98,0.42,0.34
WSPM_0,0.77,0.74,0.83,0.67,0.89,0.59,1.04,0.17,0.72,0.72,0.43
WSPM_1,0.78,0.73,0.93,0.52,0.44,1.2,0.35,2.15,1.2,0.24,0.06
PM10_0,0.8,0.71,0.89,0.58,0.7,0.84,0.85,0.73,1.32,0.11,
PM10_1,0.79,0.73,0.77,0.75,1.0,0.44,1.05,0.14,0.14,1.66,0.14
PM10_2,0.56,0.97,0.83,0.68,0.87,0.62,1.08,0.05,,0.25,3.7
