,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.26,1.0,0.36,1.03,1.01,0.99,0.93,0.56
PRES_0,1.0,1.0,,1.0,0.36,1.03,1.01,0.99,0.94,0.56
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.26,1.0,0.24,1.03,1.01,0.99,0.94,0.56
DEWP_0,1.55,1.55,,1.23,6.34,1.31,2.17,1.7,,
WSPM_0,1.01,1.01,0.28,1.01,0.25,1.05,0.93,1.01,0.94,0.59
WSPM_1,1.16,1.16,,1.16,0.88,1.14,1.69,1.14,1.1,0.48
PM10_0,1.03,1.03,0.32,1.03,0.45,1.06,1.11,1.13,0.72,0.41
PM10_1,1.1,1.1,,1.1,,1.14,0.94,0.84,1.47,0.74
PM10_2,1.43,1.43,,1.43,,1.46,1.41,0.69,1.92,4.19
