,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.73,1.0,0.68,0.93,0.52,0.88,0.72,0.48
PRES_0,1.0,1.0,,1.0,0.68,0.93,0.52,0.88,0.72,0.48
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.72,1.0,0.79,0.93,0.52,0.88,0.72,0.49
DEWP_0,1.18,1.18,,1.33,0.09,1.07,0.42,0.97,0.91,
WSPM_0,1.0,1.0,0.73,1.0,0.76,0.92,0.54,0.88,0.71,0.48
WSPM_1,1.01,1.0,,1.01,0.45,0.94,0.43,0.86,0.82,0.47
PM10_0,1.0,1.0,0.6,1.0,0.64,0.93,0.53,0.83,0.84,0.81
PM10_1,1.0,1.0,,1.0,,0.92,0.49,1.01,0.56,0.33
PM10_2,1.0,1.0,,1.0,,0.92,0.56,1.1,0.6,0.12
