,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,2.75,1.88,1.8,1.13,0.17,0.24,0.67,0.79,0.29,0.54,0.35,0.63,0.39,0.72,0.53,0.84,0.74,1.28,0.74,1.35,,1.7,,1.7,,1.66,,2.33,0.43
ENE,1.78,2.52,0.92,2.37,0.15,0.22,1.56,0.44,,,0.27,1.31,0.42,0.62,0.54,,0.97,1.12,0.93,1.14,,,,4.68,,0.57,,2.14,0.47
ESE,2.32,1.16,3.14,0.48,0.28,0.2,0.28,2.01,0.72,1.08,,0.5,,,0.85,,0.56,1.84,0.69,1.47,0.36,1.27,,0.76,,0.93,,1.31,0.75
NE,1.0,2.08,0.49,3.69,,0.2,2.54,0.37,,,0.37,1.67,0.5,0.76,0.73,0.59,1.91,0.55,1.55,0.69,,,,3.45,,0.56,,2.24,0.45
SSW,0.2,,0.42,,5.44,3.09,,0.91,3.93,1.37,1.17,,,,,0.67,1.04,0.83,1.04,0.95,0.29,1.02,,3.06,,2.98,,0.52,1.9
SW,0.19,0.24,0.35,,3.04,5.58,,0.4,1.79,1.28,3.12,,,,0.79,0.95,1.37,0.58,1.58,0.47,,,,1.49,,,,0.36,2.79
NNE,0.8,1.74,0.43,2.41,,,4.81,,,,,2.39,0.69,2.09,,,1.55,0.7,1.44,0.75,,0.28,,0.63,,1.23,,1.67,0.6
SE,0.9,0.48,2.12,0.36,0.71,0.5,,5.06,1.0,2.9,,,,,,,0.61,1.69,0.54,1.91,0.23,0.82,,1.23,,0.8,,1.14,0.87
S,0.36,,0.71,,3.74,1.33,,1.55,4.27,3.25,0.63,,,,,,0.72,1.27,0.83,1.0,,,,2.45,,2.39,,1.15,0.87
SSE,0.61,0.27,1.61,,1.52,0.75,,2.99,2.71,4.46,,,,,,,0.65,1.61,0.62,1.59,,,,,,2.15,,0.87,1.15
WSW,0.32,0.22,,,1.52,3.78,,0.52,1.03,0.58,8.14,,,,,3.63,1.84,0.57,1.9,0.49,,,,1.08,,1.05,,0.71,1.41
N,0.54,0.94,0.42,1.74,,0.36,3.2,,,,,5.75,1.26,2.03,1.11,,1.42,0.87,1.32,1.0,,0.35,,0.42,,2.08,,1.56,0.64
NW,,0.59,0.44,0.49,,,0.63,,,,,1.45,10.44,5.56,4.78,1.81,2.21,0.34,2.09,0.39,,0.53,,0.26,,0.77,,0.42,2.38
