,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,0.4,0.96,0.56,1.0,0.26,0.78,0.47,0.77,0.52,0.52
TEMP_1,,,,,,,,,,,
PRES_1,1.0,0.29,0.93,1.1,1.0,0.32,0.79,0.47,0.76,0.54,0.55
PRES_0,1.0,,1.5,0.07,1.0,0.08,0.76,0.51,0.99,0.36,0.29
DEWP_0,1.0,0.31,0.96,0.56,1.0,0.33,0.78,0.47,0.77,0.52,0.52
DEWP_1,1.0,,0.98,,1.0,,0.83,,,0.37,
WSPM_0,1.0,0.23,0.96,0.48,1.0,0.2,0.75,0.62,0.85,0.44,0.41
WSPM_1,1.0,,0.95,1.03,1.0,,0.91,0.28,0.62,1.07,1.89
PM10_0,1.0,0.26,0.94,1.0,1.0,,0.8,0.37,0.6,0.81,2.57
PM10_1,1.0,,0.99,0.33,1.0,0.14,0.75,0.78,1.13,0.31,0.39
PM10_2,1.0,,0.97,0.38,1.0,0.07,0.77,0.77,2.22,0.47,0.12
