,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,3.95,1.0,2.63,0.96,0.85,0.97,0.98,1.56
PRES_0,1.0,1.0,,1.0,2.62,0.96,0.85,0.97,0.98,1.56
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,3.93,1.0,3.04,0.96,0.84,0.97,0.98,1.6
DEWP_0,0.02,0.02,,0.02,0.01,0.02,0.01,0.02,0.02,
WSPM_0,0.89,0.89,3.53,0.89,2.63,0.86,0.78,0.87,0.86,1.39
WSPM_1,0.24,0.24,,0.24,0.41,0.23,0.16,0.22,0.26,0.36
PM10_0,0.74,0.74,2.41,0.74,1.85,0.72,0.64,0.68,0.85,1.95
PM10_1,0.39,0.39,,0.39,,0.38,0.31,0.44,0.3,0.42
PM10_2,0.03,0.03,,0.03,,0.03,0.03,0.04,0.02,0.01
