,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,,1.0,1.02,1.0,1.0,1.0
DEWP_0,15.44,15.42,,,0.08,33.44,3.7,10.67,,
WSPM_0,1.08,1.08,,1.08,2.4,1.01,1.9,1.1,1.03,1.13
WSPM_1,2.63,2.62,,2.67,0.62,4.62,0.74,2.35,3.66,
PM10_0,1.22,1.22,,1.22,0.86,1.24,1.13,0.88,5.24,
PM10_1,1.86,1.86,,1.85,,1.81,2.21,8.05,0.65,1.61
PM10_2,10.64,10.62,,10.59,,9.72,,,9.61,0.16
