,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,3660.76,1.13,32.12,1.0,2019.11,1.78,9.94,2.42,7.96,22.5
TEMP_1,,,,,,,,,,,
PRES_1,1.0,4583.87,1.15,19.75,1.0,1741.4,1.78,10.14,2.46,7.74,21.45
PRES_0,1.0,,0.92,197.46,1.01,5705.56,1.83,7.2,1.92,10.96,36.18
DEWP_0,1.0,4278.14,1.13,31.86,1.0,1769.72,1.78,9.96,2.43,7.96,22.42
DEWP_1,1.0,,1.16,,1.01,86184.0,1.83,,,10.53,
WSPM_0,1.0,5226.29,1.14,32.41,1.0,1462.96,1.82,8.51,2.32,8.58,23.98
WSPM_1,1.0,,1.13,31.16,1.01,,1.68,13.97,2.72,6.23,18.21
PM10_0,1.0,4160.27,1.14,25.2,1.0,,1.76,12.55,2.87,6.1,10.61
PM10_1,1.0,6270.06,1.13,41.98,1.0,1852.65,1.83,6.97,2.15,11.28,24.82
PM10_2,1.0,,1.12,44.5,1.0,3559.07,1.83,4.01,0.9,9.21,75.41
