,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,0.81,0.78,0.73,0.75,0.76,0.73,0.68,0.66,0.67,0.65,0.72,0.69,0.65,0.6,0.57,0.57,1.67,0.92,1.68,0.88,1.77,1.76,,1.76,0.5,1.76,0.35,1.66,0.89
ENE,0.85,0.81,0.75,0.75,0.77,0.76,0.65,0.7,0.71,0.72,0.71,0.65,0.64,0.6,0.58,0.6,1.69,0.96,1.72,0.88,1.81,1.81,,1.81,,1.81,0.41,1.7,0.94
ESE,0.88,0.87,0.8,0.82,0.8,0.78,0.8,0.72,0.74,0.69,0.73,0.76,0.66,0.63,0.65,0.57,1.83,0.96,1.84,0.88,1.91,1.91,,1.9,,1.9,0.38,1.8,0.97
NE,0.9,0.87,0.84,0.8,0.86,0.84,0.73,0.73,0.74,0.73,0.79,0.7,0.74,0.66,0.7,0.71,1.85,1.11,1.87,1.06,1.96,1.96,,1.96,,1.96,0.44,1.85,1.01
SSW,1.02,1.0,0.92,0.97,0.79,0.79,0.89,0.81,0.77,0.75,0.71,0.79,0.75,0.67,0.65,0.59,1.92,1.01,1.95,0.97,2.03,2.03,,2.03,,2.03,,1.91,1.0
SW,0.98,1.02,0.9,0.91,0.82,0.79,0.84,0.85,0.81,0.81,0.73,0.77,0.72,0.65,0.67,0.58,1.92,1.08,1.95,0.97,2.04,2.04,,2.04,,2.04,0.45,1.93,1.03
NNE,0.96,0.95,0.91,0.87,0.89,0.94,0.79,0.79,0.83,0.82,0.84,0.78,0.79,0.74,0.64,0.68,2.02,1.45,2.04,1.2,2.13,2.13,,2.13,,2.13,0.6,2.01,1.1
SE,1.0,0.99,0.9,0.93,0.85,0.87,0.96,0.78,0.79,0.76,0.84,0.92,0.84,0.82,0.68,0.64,2.05,1.08,2.05,1.0,2.15,2.15,,2.14,,2.15,0.45,2.02,1.11
S,1.03,1.06,0.98,1.0,0.83,0.84,0.99,0.82,0.78,0.75,0.8,0.85,0.9,0.89,0.74,0.67,2.05,1.08,2.07,1.03,2.16,2.15,,2.15,,2.15,0.44,2.03,1.1
SSE,1.05,1.05,0.99,1.03,0.94,0.88,1.0,0.82,0.84,0.78,0.8,0.83,0.87,0.84,0.79,0.72,2.12,1.07,2.14,0.99,2.22,2.22,,2.22,,2.22,0.48,2.09,1.11
WSW,1.04,0.99,1.01,0.89,0.93,0.88,0.84,1.02,0.97,0.93,0.77,0.83,0.83,0.72,0.67,0.68,2.1,1.3,2.13,1.14,2.23,2.23,,2.23,,2.23,0.54,2.1,1.16
N,1.06,1.0,0.95,0.96,1.04,1.03,0.84,0.86,0.88,0.89,0.88,0.79,0.75,0.72,0.72,0.69,2.14,1.45,2.15,1.17,2.25,2.25,,2.25,,2.25,0.64,2.12,1.15
NW,1.1,1.07,1.13,0.97,1.15,1.13,0.89,1.01,1.09,1.05,0.96,0.86,0.75,0.74,0.68,0.69,2.29,2.95,2.32,1.87,2.43,2.43,,2.43,,2.43,0.76,2.29,1.22
NNW,1.25,1.18,1.3,1.07,1.32,1.28,0.93,1.03,1.07,1.01,1.03,0.91,0.82,0.77,0.69,0.74,2.46,2.53,2.49,1.85,2.6,2.6,,2.59,0.48,2.59,,2.45,1.31
WNW,1.35,1.24,1.26,1.07,1.25,1.08,1.1,1.23,1.16,1.06,0.98,0.92,0.87,0.8,0.76,0.82,2.51,2.46,2.56,1.81,2.68,2.68,,2.68,,2.68,,2.53,1.35
W,1.26,1.21,1.16,1.05,1.18,1.18,1.04,1.09,1.08,1.06,1.03,0.99,1.0,0.83,0.81,0.79,2.55,1.77,2.58,1.51,2.7,2.7,,2.69,,2.69,,2.54,1.46
PM2.5_0,0.49,0.48,0.45,0.44,0.44,0.43,0.41,0.4,0.4,0.39,0.39,0.39,0.39,0.36,0.34,0.32,0.98,0.61,1.0,0.54,1.05,1.05,0.24,1.04,0.31,1.04,0.26,0.99,0.53
PM2.5_1,0.85,0.81,0.78,0.78,0.74,0.76,0.7,0.78,0.76,0.67,0.72,0.63,0.4,0.45,0.46,0.61,1.73,0.8,1.73,0.77,1.8,1.8,,1.79,,1.79,0.25,1.69,0.86
