,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.0,0.98,0.93,0.95,0.92,0.88,0.89,0.88,0.87,0.85,0.87,0.87,0.82,0.78,0.77,0.77,1.39,0.97,1.39,0.97,1.43,1.43,,1.43,0.57,1.43,0.51,1.39,1.02
ENE,1.02,1.0,0.94,0.94,0.91,0.89,0.87,0.9,0.86,0.89,0.85,0.89,0.81,0.78,0.78,0.77,1.4,0.99,1.41,0.95,1.45,1.45,,1.45,,1.45,0.55,1.41,1.06
ESE,1.05,1.04,0.99,0.97,0.96,0.95,0.96,0.94,0.92,0.89,0.91,0.9,0.78,0.8,0.83,0.77,1.47,1.01,1.47,0.99,1.5,1.5,,1.49,,1.49,0.54,1.46,1.07
NE,1.05,1.06,1.01,1.0,0.99,0.98,0.94,0.9,0.88,0.88,0.92,0.93,0.97,0.88,0.94,0.9,1.5,1.04,1.5,1.05,1.53,1.53,,1.53,,1.53,0.63,1.49,1.12
SSW,1.11,1.08,1.05,1.05,1.0,1.01,0.99,0.97,0.99,0.96,0.94,0.89,0.8,0.79,0.76,0.81,1.52,0.99,1.53,1.01,1.56,1.56,,1.56,,1.56,0.33,1.52,1.1
SW,1.08,1.1,1.04,1.02,1.0,1.0,0.94,0.99,1.01,1.02,0.94,0.92,0.83,0.8,0.8,0.81,1.52,1.02,1.53,0.99,1.57,1.57,,1.57,,1.57,0.46,1.53,1.12
NNE,1.08,1.1,1.04,1.04,1.01,1.02,1.0,0.93,0.94,0.94,0.98,1.01,0.97,0.94,0.83,0.83,1.57,1.19,1.58,1.13,1.61,1.61,,1.61,,1.61,0.75,1.57,1.18
SE,1.13,1.09,1.07,1.07,1.02,1.02,1.1,1.0,1.01,0.96,0.95,1.01,0.91,0.92,0.78,0.84,1.56,1.07,1.57,1.02,1.61,1.61,,1.61,,1.61,0.58,1.57,1.16
S,1.13,1.17,1.1,1.09,1.03,1.04,1.06,1.02,1.0,0.96,1.02,0.94,0.97,0.92,0.87,0.87,1.58,1.04,1.59,1.04,1.62,1.62,,1.62,,1.62,0.61,1.58,1.16
SSE,1.17,1.15,1.15,1.13,1.07,1.04,1.07,1.02,1.03,1.0,0.99,0.94,0.9,0.87,0.9,0.92,1.6,1.06,1.62,1.04,1.65,1.65,,1.65,,1.65,0.68,1.61,1.19
WSW,1.17,1.11,1.13,1.05,1.06,1.06,1.0,1.1,1.08,1.06,1.0,1.02,0.98,0.95,0.87,0.94,1.61,1.18,1.62,1.07,1.66,1.66,,1.66,,1.66,0.68,1.61,1.17
N,1.16,1.14,1.09,1.11,1.07,1.09,1.01,0.99,0.97,1.01,1.02,1.01,0.97,0.94,0.96,0.87,1.63,1.23,1.63,1.13,1.67,1.67,,1.67,,1.67,0.84,1.63,1.21
NW,1.15,1.16,1.18,1.06,1.15,1.18,1.0,1.01,1.12,1.08,1.06,1.05,1.0,0.99,0.94,0.9,1.7,2.26,1.71,1.6,1.75,1.75,,1.75,,1.75,1.02,1.7,1.26
NNW,1.25,1.24,1.27,1.16,1.24,1.24,1.13,1.05,1.17,1.1,1.08,1.06,1.02,1.01,0.93,0.92,1.79,1.97,1.79,1.59,1.83,1.83,,1.83,0.59,1.83,1.06,1.78,1.33
WNW,1.34,1.25,1.3,1.13,1.21,1.17,1.16,1.31,1.23,1.11,1.07,1.1,1.06,0.98,1.0,1.05,1.81,1.7,1.82,1.53,1.86,1.86,,1.86,,1.86,0.86,1.81,1.32
W,1.31,1.27,1.25,1.17,1.25,1.28,1.16,1.14,1.18,1.1,1.15,1.13,1.14,0.99,0.99,1.0,1.82,1.46,1.83,1.3,1.87,1.87,,1.87,,1.87,0.71,1.82,1.38
PM2.5_0,0.72,0.71,0.68,0.67,0.65,0.65,0.64,0.62,0.62,0.61,0.61,0.63,0.61,0.59,0.57,0.55,1.0,0.7,1.01,0.68,1.03,1.03,0.32,1.03,0.4,1.03,0.42,1.0,0.74
PM2.5_1,1.03,0.98,0.99,0.91,0.98,0.95,0.83,1.02,1.0,0.92,0.87,0.76,0.48,0.57,0.6,0.74,1.41,1.0,1.41,0.97,1.45,1.44,,1.44,,1.44,0.41,1.41,0.97
PM10_0,0.71,0.71,0.68,0.67,0.65,0.65,0.63,0.63,0.62,0.61,0.61,0.62,0.6,0.57,0.56,0.54,0.99,0.71,1.0,0.68,1.02,1.02,0.32,1.02,0.41,1.02,0.42,1.0,0.74
PM10_1,1.04,1.01,1.0,0.97,0.99,0.98,0.89,1.0,1.04,0.95,0.98,0.83,0.53,0.64,0.62,0.79,1.46,0.99,1.46,1.0,1.49,1.49,,1.49,0.59,1.49,0.35,1.45,1.01
TEMP_1,0.7,0.69,0.66,0.65,0.64,0.64,0.62,0.62,0.62,0.6,0.6,0.6,0.57,0.55,0.54,0.53,0.97,0.69,0.98,0.67,1.0,1.0,0.32,1.0,0.4,1.0,0.39,0.97,0.72
PRES_0,0.7,0.69,0.66,0.65,0.64,0.64,0.62,0.62,0.62,0.6,0.6,0.6,0.57,0.55,0.54,0.54,0.97,0.69,0.98,0.67,1.0,1.0,0.32,1.0,0.4,1.0,0.39,0.97,0.72
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.7,0.69,0.67,0.65,0.64,0.64,0.62,0.62,0.62,0.6,0.6,0.6,0.57,0.55,0.54,0.53,0.97,0.69,0.98,0.67,1.0,1.0,0.32,1.0,0.4,1.0,0.39,0.97,0.72
DEWP_0,1.79,1.79,1.47,1.98,,,1.89,1.55,1.55,,1.24,,2.0,1.8,1.53,,2.48,,2.5,1.61,2.55,2.55,,2.55,1.02,2.55,,2.49,1.84
RAIN_0,0.7,0.69,0.67,0.65,0.64,0.64,0.62,0.62,0.62,0.6,0.6,0.6,0.57,0.55,0.54,0.53,0.97,0.69,0.98,0.67,1.0,1.0,0.32,1.0,0.4,1.0,0.39,0.97,0.72
RAIN_1,2.1,1.72,1.6,1.43,,1.74,1.52,1.48,1.56,1.65,,1.15,,0.94,1.43,,2.5,,2.51,,2.54,2.54,,2.53,,2.53,1.0,2.47,2.02
WSPM_0,0.72,0.71,0.68,0.67,0.65,0.65,0.64,0.63,0.63,0.61,0.62,0.62,0.59,0.57,0.55,0.55,1.0,0.69,1.0,0.67,1.03,1.03,0.44,1.03,0.39,1.03,0.4,1.0,0.74
WSPM_1,0.96,0.93,0.94,0.87,0.94,0.93,0.83,0.89,0.91,0.94,0.85,0.82,0.76,0.73,0.74,0.74,1.36,1.14,1.36,1.05,1.39,1.39,,1.39,0.61,1.39,0.57,1.36,1.0
