,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,3.3,1.0,3.38,1.17,5.62,1.4,2.53,8.81
PRES_0,1.0,1.0,2.4,1.0,3.39,1.17,5.61,1.4,2.53,8.82
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,3.31,1.0,2.68,1.17,5.62,1.4,2.53,8.58
DEWP_0,0.82,0.82,,0.82,162.44,0.96,5.66,1.22,2.66,60.92
WSPM_0,1.0,1.0,3.86,1.0,2.55,1.17,5.47,1.4,2.51,8.38
WSPM_1,1.0,1.0,,1.0,8.31,1.17,6.45,1.41,2.64,11.32
PM10_0,1.0,1.0,4.91,1.0,4.38,1.17,5.8,1.48,2.19,5.79
PM10_1,0.99,1.0,,1.0,1.42,1.16,5.17,1.3,3.34,14.21
PM10_2,0.99,0.99,,0.99,,1.15,4.78,1.24,3.41,78.32
