,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.1,1.0,0.14,0.89,0.26,0.76,0.46,0.1
PRES_0,1.0,1.0,0.12,1.0,0.14,0.89,0.26,0.76,0.46,0.1
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.1,1.0,0.16,0.89,0.26,0.77,0.46,0.11
DEWP_0,65.96,65.9,,65.74,1.21,58.65,15.49,48.99,32.05,2.14
WSPM_0,1.13,1.12,0.17,1.12,0.17,1.0,0.3,0.86,0.51,0.11
WSPM_1,4.28,4.28,,4.27,0.45,3.81,1.04,3.23,2.22,0.54
PM10_0,1.35,1.35,0.11,1.34,0.19,1.2,0.35,1.0,0.66,0.2
PM10_1,2.53,2.53,,2.52,0.33,2.25,0.63,1.99,1.01,0.18
PM10_2,34.58,34.55,,34.46,,30.74,8.72,27.9,14.06,1.2
