,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,0.58,0.98,0.82,0.96,0.88,0.62
PRES_0,1.0,1.0,,1.0,0.58,0.98,0.82,0.96,0.88,0.62
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,,0.98,0.83,0.96,0.88,0.62
DEWP_0,5.19,5.18,,,0.22,7.47,2.1,4.12,,
WSPM_0,1.05,1.05,,1.05,0.91,1.0,1.15,1.02,0.9,0.69
WSPM_1,1.79,1.78,,1.8,0.5,2.33,0.78,1.61,1.94,
PM10_0,1.13,1.13,,1.13,0.55,1.11,0.9,0.92,2.06,
PM10_1,1.45,1.45,,1.45,,1.42,1.25,2.9,0.76,0.83
PM10_2,4.13,4.13,,4.12,,3.76,,,3.5,0.32
