,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.48,1.0,0.42,0.86,0.25,0.76,0.49,0.2
PRES_0,1.0,1.0,0.83,1.0,0.42,0.86,0.24,0.76,0.49,0.2
PRES_1,,,,,,,,,,
DEWP_1,1.0,0.99,0.47,0.99,0.58,0.85,0.24,0.76,0.49,0.21
DEWP_0,0.01,0.01,,0.01,,,,,,
WSPM_0,0.86,0.85,0.43,0.85,0.45,0.73,0.22,0.65,0.41,0.17
WSPM_1,0.15,0.15,,0.15,0.03,0.13,0.03,0.11,0.08,0.03
PM10_0,0.67,0.67,0.22,0.67,0.24,0.58,0.17,0.46,0.43,0.3
PM10_1,0.29,0.29,,0.29,,0.25,0.07,0.27,0.09,0.03
PM10_2,0.01,0.01,,0.01,,0.01,,0.01,,
