,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.43,0.4,0.74,1.28,1.25,0.29,1.09,1.45,1.11,1.21,0.62
TEMP_0,0.48,1.55,1.21,0.37,0.54,1.39,1.08,1.46,1.05,1.17,0.91
PRES_1,0.81,1.22,1.28,0.33,0.74,1.1,1.08,1.47,1.09,1.16,0.78
PRES_0,1.33,0.4,0.36,1.86,1.25,0.25,1.08,1.41,1.06,1.25,0.71
DEWP_1,1.29,0.6,0.79,1.18,1.32,0.22,1.1,1.18,1.0,1.33,0.78
DEWP_0,0.49,1.49,1.24,0.33,0.26,1.76,1.06,1.9,1.2,0.96,0.72
WSPM_0,1.0,0.92,0.95,0.86,0.96,0.73,1.1,1.24,1.04,1.25,0.8
WSPM_1,0.87,1.07,1.03,0.81,0.68,1.25,1.0,2.71,1.32,0.85,0.5
PM10_0,0.98,0.91,0.98,0.78,0.84,0.95,1.07,1.97,1.39,0.8,0.22
PM10_1,1.04,0.93,0.92,0.93,1.04,0.6,1.1,0.92,0.82,1.82,0.82
PM10_2,0.8,1.21,1.01,0.96,0.89,0.73,1.1,0.25,0.12,1.32,4.0
