,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,3.85,1.04,1.62,1.1,1.36,3.26
PRES_0,1.0,1.0,,1.0,3.85,1.04,1.62,1.1,1.36,3.26
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,,1.04,1.63,1.1,1.36,3.24
DEWP_0,0.02,0.02,,,,0.03,0.01,0.02,,
WSPM_0,0.89,0.89,,0.89,5.14,0.89,1.91,0.99,1.18,3.06
WSPM_1,0.23,0.23,,0.24,0.44,0.32,0.2,0.24,0.39,
PM10_0,0.74,0.74,,0.74,2.43,0.78,1.17,0.7,2.1,
PM10_1,0.39,0.39,,0.39,,0.41,0.67,0.91,0.32,1.19
PM10_2,0.03,0.03,,0.03,,0.03,,,0.04,0.01
