,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,0.8,0.78,0.72,0.74,0.74,0.7,0.67,0.65,0.66,0.63,0.68,0.65,0.63,0.57,0.55,0.54,1.67,0.91,1.68,0.86,1.77,1.76,,1.76,0.53,1.76,0.34,1.66,0.88
ENE,0.83,0.8,0.75,0.72,0.74,0.72,0.64,0.69,0.68,0.68,0.65,0.65,0.61,0.56,0.55,0.54,1.69,0.95,1.72,0.86,1.81,1.81,,1.81,,1.81,0.37,1.7,0.93
ESE,0.87,0.86,0.78,0.79,0.78,0.77,0.76,0.7,0.71,0.67,0.73,0.7,0.63,0.62,0.62,0.55,1.82,0.95,1.83,0.89,1.9,1.9,,1.9,,1.9,0.38,1.79,0.94
NE,0.9,0.87,0.83,0.78,0.84,0.81,0.71,0.72,0.72,0.71,0.72,0.69,0.73,0.64,0.68,0.64,1.86,1.1,1.88,1.03,1.97,1.97,,1.97,,1.97,0.44,1.86,1.0
SSW,0.97,0.95,0.88,0.91,0.78,0.78,0.85,0.76,0.75,0.73,0.72,0.75,0.68,0.65,0.6,0.58,1.92,0.98,1.94,0.95,2.03,2.03,,2.03,,2.03,0.26,1.91,0.98
SW,0.95,0.96,0.88,0.87,0.78,0.77,0.79,0.8,0.78,0.79,0.7,0.74,0.69,0.64,0.6,0.57,1.92,1.04,1.95,0.93,2.04,2.04,,2.04,,2.04,0.37,1.93,1.0
NNE,0.96,0.93,0.9,0.84,0.9,0.89,0.77,0.77,0.8,0.8,0.81,0.76,0.76,0.69,0.62,0.62,2.02,1.34,2.04,1.15,2.14,2.14,,2.14,,2.14,0.54,2.02,1.1
SE,0.98,0.95,0.89,0.92,0.85,0.85,0.94,0.77,0.79,0.74,0.8,0.85,0.78,0.78,0.63,0.64,2.01,1.06,2.04,0.96,2.15,2.14,,2.14,,2.14,0.43,2.02,1.07
S,1.0,1.03,0.93,0.96,0.82,0.83,0.93,0.8,0.77,0.73,0.82,0.81,0.85,0.79,0.71,0.65,2.04,1.04,2.06,0.98,2.16,2.15,,2.15,,2.15,0.45,2.03,1.06
SSE,1.03,1.02,0.96,1.01,0.89,0.87,0.94,0.79,0.81,0.76,0.82,0.81,0.8,0.75,0.74,0.7,2.1,1.06,2.13,0.99,2.22,2.22,,2.22,,2.22,0.52,2.09,1.1
WSW,1.06,0.99,0.99,0.89,0.89,0.86,0.82,0.92,0.88,0.86,0.76,0.82,0.79,0.75,0.65,0.67,2.09,1.29,2.12,1.05,2.23,2.23,,2.23,,2.23,0.53,2.1,1.09
N,1.04,0.99,0.96,0.93,0.97,0.96,0.8,0.85,0.85,0.87,0.84,0.77,0.77,0.69,0.7,0.65,2.13,1.35,2.15,1.16,2.25,2.25,,2.25,,2.25,0.62,2.12,1.16
NW,1.07,1.05,1.08,0.92,1.09,1.09,0.83,0.93,1.03,0.98,0.9,0.83,0.74,0.72,0.66,0.68,2.29,2.86,2.32,1.82,2.43,2.43,,2.43,,2.43,0.76,2.29,1.2
NNW,1.18,1.15,1.2,1.03,1.21,1.19,0.94,0.97,1.09,1.02,0.95,0.85,0.8,0.76,0.69,0.71,2.46,2.39,2.48,1.72,2.6,2.6,,2.59,0.48,2.59,0.8,2.45,1.3
WNW,1.28,1.18,1.22,1.03,1.16,1.09,1.0,1.22,1.14,1.03,0.94,0.91,0.83,0.77,0.75,0.81,2.52,2.04,2.56,1.72,2.68,2.68,,2.68,,2.68,0.65,2.53,1.32
W,1.26,1.21,1.16,1.06,1.13,1.14,1.02,1.01,1.05,0.97,0.96,0.97,0.96,0.82,0.77,0.76,2.55,1.78,2.57,1.42,2.7,2.7,,2.69,,2.69,0.58,2.54,1.38
PM2.5_0,0.48,0.47,0.44,0.43,0.42,0.42,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.35,0.33,0.31,0.98,0.58,1.0,0.53,1.05,1.05,0.24,1.04,0.29,1.04,0.24,0.99,0.52
PM2.5_1,0.84,0.8,0.77,0.75,0.75,0.76,0.66,0.76,0.75,0.66,0.7,0.58,0.41,0.45,0.45,0.56,1.71,0.8,1.72,0.76,1.8,1.8,,1.79,,1.79,0.27,1.69,0.85
