,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1.45,1.0,1.54,1.08,2.01,1.15,1.43,2.25
PRES_0,1.0,1.0,1.1,1.0,1.55,1.08,2.01,1.15,1.43,2.25
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,1.45,1.0,1.24,1.08,2.01,1.15,1.43,2.26
DEWP_0,1.0,1.0,,0.95,14.01,1.06,2.28,1.22,1.52,
WSPM_0,1.0,1.0,1.65,1.0,1.25,1.08,1.95,1.15,1.42,2.28
WSPM_1,1.0,1.0,,1.0,2.72,1.08,2.36,1.14,1.52,2.09
PM10_0,1.0,1.0,1.77,1.0,1.85,1.08,2.1,1.21,1.24,1.82
PM10_1,1.0,1.0,,1.0,,1.08,1.8,1.03,1.8,2.8
PM10_2,1.0,1.0,,1.0,,1.08,1.75,0.83,1.88,8.68
