,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TEMP_1,,,,,,,,,,
PRES_1,0.93,1.08,3.87,0.58,0.93,0.86,0.93,1.07,1.06,0.91
PRES_0,,,0.07,106.71,,2.92,,0.46,0.57,4.32
DEWP_0,1.0,1.0,1.0,0.99,1.0,0.88,1.0,1.01,1.01,0.99
DEWP_1,,,,,,159.65,,,0.25,
WSPM_0,0.78,1.23,1.03,1.01,0.78,0.72,4.07,0.66,0.81,1.22
WSPM_1,5.24,,0.91,0.97,5.24,1.8,0.3,10.08,2.65,0.56
PM10_0,0.84,1.17,1.15,0.85,0.84,0.88,0.78,1.82,10.51,0.54
PM10_1,2.36,,0.68,1.57,2.36,1.45,8.6,0.22,0.2,24.46
