,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.0,0.98,0.91,0.93,0.89,0.85,0.86,0.85,0.83,0.81,0.83,0.83,0.77,0.72,0.71,0.71,1.54,0.97,1.55,0.95,1.6,1.6,,1.6,0.47,1.6,0.42,1.55,1.03
ENE,1.03,1.0,0.93,0.92,0.89,0.87,0.84,0.87,0.83,0.85,0.81,0.85,0.76,0.73,0.72,0.71,1.56,0.99,1.58,0.94,1.64,1.64,,1.64,,1.64,0.46,1.58,1.08
ESE,1.07,1.05,0.99,0.97,0.95,0.93,0.93,0.92,0.9,0.86,0.88,0.87,0.75,0.75,0.78,0.71,1.66,1.02,1.67,0.99,1.71,1.71,,1.7,,1.7,0.45,1.65,1.09
NE,1.08,1.07,1.01,1.0,0.99,0.97,0.93,0.89,0.86,0.86,0.89,0.91,0.93,0.84,0.88,0.85,1.7,1.06,1.71,1.06,1.76,1.76,,1.76,,1.76,0.54,1.7,1.15
SSW,1.15,1.11,1.06,1.06,1.0,1.0,0.98,0.96,0.98,0.95,0.93,0.88,0.77,0.75,0.72,0.76,1.74,1.02,1.76,1.02,1.8,1.8,,1.8,,1.8,0.28,1.74,1.14
SW,1.11,1.13,1.05,1.02,1.0,1.0,0.93,0.98,1.0,1.0,0.92,0.9,0.8,0.77,0.76,0.76,1.75,1.05,1.76,1.0,1.81,1.81,,1.81,,1.81,0.4,1.75,1.17
NNE,1.13,1.13,1.07,1.06,1.02,1.03,1.0,0.93,0.93,0.94,0.97,1.0,0.95,0.91,0.79,0.79,1.82,1.24,1.83,1.15,1.88,1.88,,1.88,,1.88,0.64,1.82,1.24
SE,1.18,1.13,1.1,1.09,1.03,1.03,1.1,1.0,1.01,0.96,0.95,1.0,0.89,0.89,0.75,0.8,1.8,1.11,1.82,1.05,1.89,1.89,,1.88,,1.88,0.5,1.82,1.22
S,1.18,1.21,1.13,1.11,1.04,1.05,1.06,1.02,1.0,0.96,1.01,0.94,0.95,0.89,0.83,0.83,1.83,1.08,1.84,1.07,1.9,1.9,,1.89,,1.89,0.53,1.83,1.22
SSE,1.23,1.19,1.18,1.16,1.09,1.06,1.08,1.03,1.03,1.0,0.99,0.94,0.89,0.84,0.87,0.89,1.87,1.1,1.89,1.08,1.94,1.94,,1.94,,1.94,0.59,1.88,1.26
WSW,1.23,1.16,1.16,1.07,1.08,1.08,1.0,1.11,1.09,1.06,1.0,1.02,0.96,0.92,0.84,0.91,1.88,1.23,1.89,1.1,1.95,1.95,,1.95,,1.95,0.59,1.88,1.24
N,1.22,1.19,1.13,1.14,1.09,1.11,1.02,1.0,0.98,1.01,1.02,1.01,0.96,0.91,0.92,0.83,1.9,1.29,1.91,1.17,1.97,1.97,,1.97,,1.97,0.73,1.9,1.29
