,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.36,1.0,0.44,0.98,0.75,0.94,0.83,0.49
PRES_0,1.0,1.0,0.36,1.0,0.44,0.98,0.75,0.94,0.83,0.49
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.36,1.0,0.44,0.98,0.75,0.94,0.83,0.49
DEWP_0,2.29,2.29,,2.29,1.02,2.24,1.72,2.16,2.14,1.06
WSPM_0,1.02,1.02,0.5,1.02,0.43,1.0,0.76,0.96,0.84,0.48
WSPM_1,1.34,1.34,,1.34,0.66,1.31,1.0,1.25,1.22,0.82
PM10_0,1.06,1.06,0.38,1.06,0.51,1.04,0.81,1.0,0.88,0.57
PM10_1,1.2,1.2,,1.2,0.38,1.17,0.85,1.13,1.0,0.55
PM10_2,2.02,2.02,,2.02,,1.97,1.41,1.9,1.71,1.0
