,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.64,0.96,1.37,0.78,0.97,1.72,1.48,2.44,1.56,1.9,2.47
TEMP_0,0.73,2.41,0.78,2.05,1.6,0.55,1.46,2.32,1.58,1.68,2.78
PRES_0,1.53,1.17,1.51,0.46,1.01,1.66,1.48,2.41,1.53,1.91,2.69
PRES_1,0.8,2.24,0.42,2.84,1.62,0.49,1.45,2.37,1.65,1.63,2.41
DEWP_0,1.03,2.08,0.89,1.85,1.75,0.49,1.45,2.44,1.62,1.68,2.68
DEWP_1,1.59,0.85,1.44,0.55,0.54,2.24,1.5,2.34,1.5,1.98,2.48
WSPM_0,1.27,1.54,1.15,1.28,1.17,1.29,1.51,2.23,1.5,1.84,2.66
WSPM_1,1.3,1.53,1.11,1.28,1.32,1.19,1.41,2.71,1.7,1.76,2.46
PM10_0,1.21,1.59,1.05,1.43,1.31,1.14,1.45,2.58,2.03,1.39,1.36
PM10_1,1.35,1.44,1.18,1.14,1.13,1.34,1.49,2.33,1.3,2.27,2.38
PM10_2,1.3,1.68,1.36,1.15,1.2,1.43,1.52,1.69,0.35,1.86,10.32
