,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,0.79,0.79,0.8,0.74,0.83,0.85,0.73,0.67,0.72,0.71,0.86,0.8,0.69,0.69,0.79,0.8,1.5,1.04,1.48,1.1,1.41,1.37,1.42,1.35,1.41,1.39,1.57,0.46,1.44,1.03
E,0.81,0.79,0.85,0.74,0.82,0.88,0.77,0.71,0.73,0.75,0.83,0.8,0.71,0.66,0.74,0.75,1.54,1.03,1.52,1.07,1.4,1.42,1.39,1.42,1.4,1.47,1.59,0.37,1.47,1.08
NE,0.81,0.82,0.79,0.78,0.88,0.89,0.81,0.69,0.74,0.69,0.92,0.76,0.7,0.7,0.77,0.82,1.52,1.14,1.49,1.18,1.45,1.36,1.49,1.35,1.47,1.4,1.6,0.52,1.47,1.02
ESE,0.9,0.84,0.91,0.77,0.88,0.88,0.79,0.84,0.75,0.87,0.89,0.88,0.75,0.68,0.81,0.73,1.62,1.09,1.6,1.13,1.48,1.5,1.47,1.51,1.46,1.57,1.69,0.35,1.55,1.17
SW,1.04,0.98,0.95,0.93,0.76,1.03,0.79,0.92,0.82,1.01,0.7,1.02,0.79,0.82,0.92,0.62,1.61,1.17,1.62,1.05,1.53,1.53,1.47,1.66,1.47,1.61,1.72,0.45,1.59,1.2
NW,1.06,1.12,0.96,1.24,1.01,0.74,1.19,0.8,1.09,0.73,0.86,0.67,1.02,1.09,0.65,0.72,1.58,2.53,1.56,1.84,1.61,1.42,1.75,1.42,1.9,1.4,1.72,0.73,1.65,1.07
SSW,1.12,1.03,1.14,0.96,0.81,1.16,0.75,1.09,0.83,1.1,0.75,1.03,0.73,0.77,1.01,0.68,1.7,1.24,1.69,1.19,1.57,1.69,1.52,1.84,1.52,1.74,1.8,,1.67,1.27
NNE,0.96,0.95,0.92,0.9,0.95,0.94,0.84,0.76,0.8,0.76,0.93,0.84,0.74,0.73,0.83,0.83,1.68,1.44,1.66,1.46,1.59,1.63,1.64,1.58,1.65,1.59,1.81,0.77,1.65,1.11
SE,1.02,0.91,0.99,0.83,0.96,1.03,0.85,1.0,0.76,1.03,0.91,0.92,0.77,0.74,0.83,0.79,1.74,1.16,1.73,1.18,1.62,1.63,1.57,1.69,1.55,1.68,1.82,0.39,1.67,1.39
N,1.0,0.98,0.98,0.92,1.0,0.89,0.89,0.79,0.89,0.75,0.88,0.77,0.9,0.85,0.76,0.71,1.68,1.63,1.67,1.57,1.66,1.56,1.71,1.53,1.74,1.55,1.82,,1.68,1.14
