,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.3,1.0,0.3,0.86,0.18,0.71,0.4,0.11
PRES_0,1.0,1.0,0.42,1.0,0.3,0.86,0.18,0.71,0.39,0.11
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.3,1.0,0.37,0.86,0.18,0.71,0.39,0.12
DEWP_0,1.26,1.26,,1.25,0.01,1.08,0.18,0.85,0.49,0.01
WSPM_0,1.0,1.0,0.48,1.0,0.35,0.86,0.18,0.71,0.39,0.11
WSPM_1,1.01,1.01,,1.01,0.15,0.86,0.16,0.7,0.46,0.14
PM10_0,1.0,1.0,0.2,1.0,0.27,0.86,0.18,0.68,0.45,0.21
PM10_1,1.0,1.0,,1.0,0.35,0.86,0.17,0.76,0.3,0.06
PM10_2,1.0,1.0,,1.0,,0.86,0.18,0.8,0.3,0.01
