,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,,0.98,0.43,1.0,0.16,0.91,0.66,0.91,0.63
TEMP_1,,,,,,,,,,
PRES_1,1.01,,1.01,0.21,1.01,0.15,0.91,0.67,0.93,0.62
PRES_0,1.43,,0.68,1.68,1.43,,1.36,0.8,1.14,1.19
DEWP_0,1.0,,0.98,0.43,1.0,,0.91,0.66,0.92,0.63
DEWP_1,2.2,,1.86,,,3.1,2.11,,,2.58
WSPM_0,1.04,,1.01,0.47,1.04,0.17,1.03,0.43,0.92,0.72
WSPM_1,1.2,,1.18,0.44,1.2,,0.69,1.2,1.18,0.49
PM10_0,1.04,,1.02,0.39,1.04,,0.91,0.75,1.05,0.3
PM10_1,1.21,,1.15,0.7,1.21,0.27,1.22,0.42,0.5,1.31
