,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.3,1.0,0.3,0.86,0.18,0.71,0.4,0.11
PRES_0,1.0,1.0,0.42,1.0,0.3,0.86,0.18,0.71,0.4,0.11
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.3,1.0,0.37,0.86,0.18,0.71,0.4,0.12
DEWP_0,18.92,18.9,,18.84,0.1,16.18,2.74,12.73,7.39,0.23
WSPM_0,1.08,1.08,0.51,1.08,0.38,0.93,0.2,0.77,0.42,0.12
WSPM_1,2.65,2.65,,2.64,0.39,2.27,0.41,1.85,1.21,0.36
PM10_0,1.22,1.22,0.25,1.22,0.33,1.05,0.22,0.83,0.55,0.25
PM10_1,1.86,1.86,,1.85,0.66,1.59,0.32,1.41,0.55,0.11
PM10_2,10.64,10.62,,10.59,,9.09,1.91,8.46,3.2,0.14
