,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,0.96,1.06,0.9,1.04,0.91,1.12,0.73,1.01,0.89,0.64
TEMP_0,1.03,1.0,1.08,0.93,1.08,0.95,1.16,0.74,1.05,0.93,0.66
PRES_1,0.95,0.92,1.0,0.85,0.99,0.87,1.07,0.69,0.96,0.85,0.61
PRES_0,1.12,1.04,1.15,1.0,1.16,1.02,1.26,0.81,1.13,0.99,0.69
DEWP_1,0.96,0.93,1.01,0.86,1.0,0.87,1.09,0.67,0.97,0.86,0.61
DEWP_0,1.08,1.05,1.15,0.97,1.14,1.0,1.22,0.81,1.11,0.96,0.69
WSPM_0,0.89,0.86,0.93,0.79,0.92,0.82,1.0,0.64,0.91,0.79,0.56
WSPM_1,1.38,1.35,1.46,1.28,1.54,1.25,1.56,1.0,1.36,1.44,1.33
PM10_0,0.98,0.95,1.04,0.88,1.03,0.91,1.11,0.74,1.0,0.87,1.31
PM10_1,1.13,1.09,1.18,1.0,1.16,1.04,1.26,0.71,1.17,1.0,0.65
PM10_2,1.57,1.51,1.63,1.44,1.62,1.42,1.76,0.75,0.69,1.45,1.0
