,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,0.95,0.84,0.73,0.65,0.27,0.35,0.45,0.48,0.31,0.4,0.35,0.45,,0.42,,0.49,1.24,0.72,1.25,0.7,1.33,1.33,,1.33,,1.33,,1.31,0.52
ENE,0.83,0.92,0.58,0.86,,0.31,0.64,0.39,,,0.33,0.64,0.31,0.37,,,1.28,0.69,1.29,0.66,1.35,1.35,,1.35,,1.34,,1.32,0.55
ESE,0.99,0.78,0.96,0.47,0.33,0.27,0.3,0.73,0.5,0.5,,0.43,,,0.44,,1.26,0.84,1.31,0.72,1.38,1.38,,1.38,,1.38,,1.33,0.68
NE,0.7,0.86,0.51,0.99,,,0.83,0.38,,,,0.66,0.38,0.4,,,1.37,0.56,1.37,0.58,1.4,1.4,,1.4,,1.4,,1.38,0.55
SSW,0.42,,0.55,,1.1,0.92,,0.6,0.97,0.62,0.55,,,,,0.34,1.35,0.68,1.37,0.68,1.42,1.42,,1.42,,1.43,,1.28,0.98
SW,0.38,0.43,0.53,,0.92,1.1,,0.38,0.79,0.72,0.82,,,,0.44,0.38,1.37,0.63,1.41,0.45,1.43,1.43,,1.43,,1.43,,1.22,1.11
NNE,0.74,0.9,0.57,0.89,,,1.04,,,,,0.73,0.46,0.7,,,1.41,0.66,1.43,0.6,1.46,1.46,,1.46,,1.46,,1.42,0.66
SE,0.76,0.58,0.9,0.45,0.53,0.53,,1.05,0.53,0.85,,,,,,,1.34,0.9,1.35,0.9,1.47,1.47,,1.46,,1.46,,1.4,0.78
S,0.55,,0.61,,0.99,0.65,,0.8,1.0,0.93,0.42,,,,,,1.35,0.85,1.39,0.69,1.47,1.47,,1.47,,1.47,,1.43,0.71
SSE,0.67,,0.92,,0.78,0.5,,0.91,0.83,1.0,,,,,,,1.38,0.87,1.4,0.81,1.49,1.49,,1.49,,1.49,,1.4,0.86
WSW,0.5,0.4,,,0.82,1.06,,,0.71,,1.2,,,,,0.69,1.46,0.61,1.46,0.58,1.49,1.49,,1.49,,1.49,,1.38,0.94
N,0.59,0.67,0.48,0.83,,,1.0,,,,,1.08,0.56,0.63,0.5,,1.45,0.7,1.45,0.75,1.5,1.49,,1.49,,1.5,,1.46,0.66
NW,,0.72,,0.54,,,0.53,,,,,0.73,1.25,0.96,0.83,0.64,1.53,,1.53,,1.56,1.56,,1.54,,1.56,,1.39,1.1
