,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.99,0.12,0.11,0.96,0.31,0.23,1.05,0.64,1.72,0.39,2.59,1.06,0.24,0.32,1.15,1.36,0.83
PRES_0_1,1.0,1.0,,,0.95,0.32,0.22,1.05,0.62,1.74,0.4,2.59,1.08,0.25,0.3,1.15,1.37,0.84
PRES_0_0,1.0,,8.14,,1.05,,,1.06,1.87,0.67,,2.43,,,1.18,1.22,0.61,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,0.99,0.12,0.12,1.04,0.02,,1.02,0.69,1.71,0.43,2.59,0.93,0.26,0.34,1.16,1.37,0.84
DEWP_1_0,0.98,0.99,,,,3.46,0.84,1.44,0.13,1.83,,2.63,2.45,,,1.08,1.23,0.4
DEWP_0_0,0.82,0.62,,,,2.16,10.8,0.86,,1.85,,2.57,2.46,,,1.0,1.43,5.73
WSPM_0_1,1.0,0.99,0.1,,0.91,0.45,0.2,1.5,0.3,1.93,0.11,3.14,1.22,0.03,0.16,1.17,1.36,0.8
WSPM_0_2,1.0,0.98,0.29,0.61,1.03,0.04,,0.46,2.29,1.08,0.12,1.9,0.29,,0.15,1.16,1.24,0.42
WSPM_0_0,0.99,1.0,,,0.95,0.39,0.54,1.21,0.22,2.67,0.11,3.22,1.44,,0.48,1.15,1.38,1.1
WSPM_0_3,1.0,1.01,,,1.05,,,0.16,0.24,0.68,3.25,1.12,,,,1.08,1.51,1.45
WSPM_1_0,1.0,0.99,,,0.95,0.34,0.29,1.15,0.34,2.29,0.15,2.93,1.15,,0.26,1.15,1.39,1.17
WSPM_1_1,1.0,1.01,,,0.81,0.86,0.96,1.26,0.32,2.27,,2.84,3.98,,0.33,1.14,1.53,1.18
WSPM_0_4,1.0,1.01,,,1.05,,,0.25,,,,0.68,,4.87,,1.05,1.34,
WSPM_1_2,1.0,0.91,,,1.05,,,0.84,0.37,1.71,,1.99,1.94,,7.86,1.22,1.18,
PM10_0,1.0,0.99,0.17,0.17,0.95,0.34,0.29,1.07,0.65,1.8,0.34,2.66,1.17,0.25,0.45,1.21,1.18,0.54
PM10_1,0.99,1.0,,,0.99,0.19,0.09,1.0,0.65,1.54,0.51,2.42,0.86,0.19,0.04,1.07,1.8,1.34
PM10_2,0.99,1.0,,,1.01,,,1.02,0.39,1.31,0.8,2.4,,,,1.02,1.83,7.36
