,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,1.0,0.99,,,,1.05,0.97,0.92,0.9,0.76,,,1.05,1.06,0.81,0.89,0.71,0.74,1.05,0.94,0.9,0.91,0.8,0.68,0.65,0.62,0.53,0.53,1.05,1.19,0.93
TEMP_0_0,1.0,1.0,1.06,,,,0.93,0.96,0.87,0.78,,,,1.06,0.91,0.63,0.75,0.73,,0.91,0.94,0.83,0.77,0.7,0.66,0.63,0.65,0.46,,1.2,0.9
TEMP_1_1,,,1.0,,,,1.1,,0.97,,0.81,,,1.19,1.21,0.99,,,,1.06,1.06,0.95,0.92,0.79,0.75,0.71,0.69,,,1.37,1.06
TEMP_0_2,,,,1.0,,,1.13,,,1.15,,0.93,,1.53,1.21,,,1.03,,1.45,1.3,1.23,1.11,0.94,0.9,0.86,0.86,,,1.67,1.31
TEMP_0_1,,,,,1.01,,1.69,1.53,1.53,1.21,,0.94,,2.3,,,1.14,,,1.39,1.18,1.34,,1.09,1.08,0.93,0.91,0.66,,1.82,1.4
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.04,1.03,0.92,0.74,0.62,0.99,1.0,1.0,0.94,0.66,,,0.99,1.11,0.89,0.91,0.73,0.77,0.99,1.02,0.96,0.94,0.83,0.69,0.69,0.6,0.53,0.41,0.99,1.25,0.95
PRES_1_1,1.08,1.05,,,0.69,,1.03,1.0,0.89,,,,,1.12,0.91,,0.79,0.77,,0.95,0.95,0.89,0.87,0.73,0.68,0.67,0.7,0.51,,1.25,0.97
PRES_1_0,1.11,1.12,1.03,,,,1.06,0.99,1.0,,,,,1.19,1.01,1.0,0.83,,,0.98,1.07,0.95,0.89,0.82,0.73,0.77,0.72,0.71,,1.34,1.06
PRES_1_2,1.3,1.28,,0.87,0.85,,1.48,,,1.01,,,,1.34,1.13,,0.96,,,1.2,1.2,1.1,0.97,0.89,0.86,0.79,0.77,0.62,,1.53,1.15
PRES_0_1,,,1.25,,,,,,,,0.99,,,,,1.24,,,,1.36,1.32,,,0.94,0.92,0.92,,,,1.73,1.26
PRES_1_3,,,,1.06,1.01,,2.03,,,,,1.0,,1.69,1.24,,1.15,1.09,,1.54,1.32,1.31,1.2,0.96,0.93,0.92,0.92,0.54,,1.74,1.39
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.95,0.95,0.84,0.64,0.58,0.7,0.89,0.89,0.84,0.75,,0.56,0.7,1.0,0.85,,,,0.7,0.88,0.86,0.82,0.76,0.62,0.61,0.51,0.41,,0.7,1.12,0.86
DEWP_0_0,1.15,1.12,0.99,0.8,,,1.18,1.1,1.0,0.89,,0.76,,1.18,1.0,,,,,0.99,1.07,0.97,0.85,0.83,0.76,0.8,0.78,0.55,,1.37,1.05
DEWP_1_1,1.13,0.95,1.02,,,,1.1,,1.01,,0.82,,,,,1.0,,,,1.08,1.07,1.02,0.93,0.79,0.75,0.7,0.71,,,1.39,1.08
DEWP_0_2,1.38,1.34,,,0.88,,1.32,1.26,1.23,1.07,,0.83,,,,,1.01,,,1.25,1.13,1.14,,0.93,0.88,0.83,0.8,0.58,,1.58,1.22
DEWP_0_1,1.42,1.35,,0.95,,,1.2,1.29,,,,0.9,,,,,,1.0,,1.29,1.23,1.16,1.02,0.9,0.85,0.87,0.83,0.66,,1.61,1.25
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.1,1.1,0.95,0.68,0.72,,0.97,1.05,0.99,0.83,0.74,0.64,,1.12,1.04,0.92,0.8,0.77,,1.0,1.45,0.56,,0.61,0.78,0.46,0.26,,,1.3,0.93
WSPM_0_1,1.08,1.05,0.95,0.77,0.73,,1.04,1.04,0.91,0.85,0.76,0.72,,1.14,0.93,0.93,0.83,0.77,,0.69,1.0,0.82,0.93,0.85,0.69,0.8,0.74,,,1.3,0.95
WSPM_0_3,1.12,1.18,1.01,0.81,0.75,,1.04,1.1,1.04,0.92,,0.77,,1.2,1.04,0.94,0.88,0.86,,1.79,1.15,1.0,,0.75,0.8,0.72,,,,1.37,1.01
WSPM_0_4,1.26,1.28,1.03,0.88,,,1.18,1.14,1.1,1.03,,0.79,,1.31,1.09,1.07,,0.93,,,1.08,,1.0,0.81,0.89,0.75,,,,1.5,1.13
WSPM_0_0,1.5,1.41,1.25,1.02,0.9,,1.68,1.38,1.28,1.13,1.01,0.96,,1.62,1.28,1.27,1.05,1.07,,1.45,1.23,1.09,1.12,1.0,0.91,0.99,0.94,,,1.72,1.85
WSPM_1_0,1.58,1.49,1.35,1.08,1.0,,1.59,1.46,1.47,1.17,1.12,1.02,,1.66,1.29,1.36,1.1,1.13,,1.25,1.37,1.38,1.33,1.06,1.0,1.14,0.99,,,1.81,1.7
WSPM_1_1,1.56,1.54,1.35,1.12,1.25,,1.89,1.5,1.35,1.33,1.04,1.06,,2.1,1.32,1.44,1.3,1.15,,2.54,1.15,1.42,1.47,1.07,0.9,1.01,,,,1.91,2.48
WSPM_1_2,1.77,1.53,1.42,1.16,1.09,,1.92,1.48,1.49,1.3,,1.09,,2.4,1.34,1.4,1.25,1.22,,,1.32,,,0.98,1.02,0.56,1.0,,,1.94,4.23
WSPM_1_3,1.98,2.27,,,1.38,,1.96,1.96,1.7,1.62,,1.41,,,1.8,,1.58,1.52,,,,,,1.42,,,,1.0,,2.45,1.96
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.84,0.83,0.73,0.59,0.55,0.79,0.81,0.8,0.75,0.65,0.58,0.56,0.79,0.89,0.74,0.72,0.63,0.61,0.79,0.77,0.77,0.71,0.66,0.6,0.56,0.56,0.55,0.41,0.79,1.0,0.77
PM10_1,1.11,1.11,0.85,0.74,0.72,,1.02,1.03,0.95,0.89,0.69,0.67,,1.14,0.9,0.9,0.81,0.79,,1.03,0.97,0.96,0.87,0.49,0.59,0.36,,,,1.3,1.0
