,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.0,,,,,1.25,1.42,2.62,1.52,0.89,,1.38,2.11,0.51,0.17,,1.15,0.92,1.23,0.42,0.78,0.53,0.23,0.88,0.82,,1.07,0.7,0.65
TEMP_0_1,,1.0,,,,8.52,3.26,2.08,2.59,1.94,,3.49,,,,,4.07,2.78,2.18,1.05,1.71,1.2,0.61,,10.55,,3.31,1.78,1.55
TEMP_0_0,,,1.0,0.22,0.33,8.89,,4.14,2.0,1.69,0.33,,1.88,,,0.33,9.43,3.28,6.91,1.71,4.83,1.77,0.91,,5.04,0.33,5.55,3.06,3.1
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.91,4.58,2.62,,,1.01,,,20.58,4.18,,2.14,2.71,,,,1.6,1.33,1.97,0.54,1.06,0.61,0.3,2.97,2.27,,1.48,1.05,1.29
PRES_1_3,3.49,2.48,,,,,1.0,,,12.53,,3.17,5.92,1.44,0.4,,4.53,2.6,2.02,1.06,1.83,1.36,0.56,1.25,1.49,,2.96,1.55,1.04
PRES_1_1,14.13,4.59,4.71,0.19,,,97.72,1.01,18.35,6.26,,12.95,4.08,,0.83,,6.17,5.71,8.16,1.79,2.72,3.83,1.21,,7.48,,5.91,4.48,4.25
PRES_1_0,14.82,9.07,3.55,,0.33,95.67,,23.03,1.02,1.26,0.33,11.13,6.63,,,0.33,9.43,3.56,4.9,2.47,18.32,2.44,1.21,,7.25,0.33,6.72,3.35,3.95
PRES_0_0,17.72,15.94,6.84,,,66.74,97.72,17.14,2.25,1.05,,16.42,11.58,1.24,0.7,,9.18,6.2,10.7,5.66,6.56,4.01,2.52,,,,11.23,4.82,3.67
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.23,1.0,,,,1.22,1.17,1.81,0.99,0.66,,1.0,49.94,2.25,0.53,,0.96,0.82,0.83,0.34,0.73,0.4,0.19,1.35,1.33,,0.94,0.56,0.51
DEWP_0_1,5.6,77.06,1.0,0.19,0.33,4.74,6.47,1.89,2.0,1.58,0.33,121.08,1.01,,0.53,0.33,6.4,1.88,4.72,0.98,1.46,1.27,0.56,2.38,1.48,0.33,2.88,1.96,1.86
DEWP_0_0,118.14,,,,,,,,35.74,16.11,,,,1.06,0.73,,49.18,,,,,,,,,,122.77,52.61,
DEWP_1_0,223.84,,,,,,,,,,,,,,1.36,,114.75,,,,,,,,,,,126.27,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,4.37,5.14,6.33,,,4.09,6.95,3.26,3.28,1.67,,4.13,7.57,0.8,0.23,,1.01,11.47,,6.27,8.09,10.12,1.71,,,,4.1,1.61,1.02
WSPM_0_1,4.98,5.01,3.35,,0.51,4.81,5.51,5.26,1.86,1.49,0.51,5.01,3.87,,,0.51,9.43,1.05,6.91,1.21,2.54,1.32,0.48,16.32,13.65,0.51,2.99,1.79,2.73
WSPM_0_2,7.18,4.32,8.93,0.42,,7.21,5.08,7.09,3.54,1.92,,5.68,11.17,,,,,11.66,1.02,3.17,10.38,3.04,1.34,,,,5.1,2.28,2.1
WSPM_0_0,10.4,9.12,5.97,,,8.11,11.35,7.09,7.22,8.05,,9.78,7.99,,,,23.34,5.64,9.21,1.12,4.72,1.86,0.73,,13.65,,5.81,5.11,7.95
WSPM_1_2,11.08,7.93,13.25,,,10.0,10.29,5.94,18.86,11.56,,12.23,7.04,,,,72.47,6.49,21.63,1.58,1.06,2.72,1.43,,21.09,,6.11,11.34,
WSPM_1_1,17.01,13.87,10.22,,,12.06,17.95,16.38,11.91,8.05,,14.99,14.53,,,,38.25,8.49,23.14,2.12,7.16,1.13,1.63,,,,9.17,10.18,20.08
WSPM_1_0,15.81,16.13,12.66,,,13.54,19.33,15.35,9.99,10.49,,15.42,15.37,,,,25.04,7.73,14.42,2.29,9.73,4.78,1.3,,,,9.78,7.73,11.3
WSPM_0_4,11.85,,,,,27.6,6.9,,,,,19.29,13.9,1.44,0.7,,,55.04,,,,14.17,6.65,1.01,,,26.25,5.85,2.75
WSPM_1_3,23.63,60.3,29.24,,,42.21,16.75,24.57,23.41,,,38.74,14.93,,,,,,,7.19,18.32,,8.22,,1.03,,16.69,33.82,30.12
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.66,1.79,1.71,0.42,0.18,1.46,1.93,1.44,1.44,1.3,0.18,1.73,1.57,,,0.18,2.05,0.87,1.41,0.34,0.65,0.41,0.2,4.49,1.04,0.18,1.02,0.94,2.13
PM10_1,3.62,3.0,3.13,0.35,,3.72,3.45,3.2,1.64,0.91,,3.32,3.72,0.77,0.37,,2.06,2.42,1.82,1.44,2.97,1.37,0.68,1.65,3.57,,2.99,1.04,0.95
PM10_2,8.59,10.12,8.83,,,13.73,5.19,12.49,4.68,3.11,,8.39,9.51,2.4,0.4,,4.29,6.43,6.34,4.96,,8.17,1.69,2.83,4.0,,11.64,3.5,1.07
