,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,1.0,0.48,1.0,0.95,0.42,0.71,0.8,0.3,0.86,0.17,0.34,0.92,0.55,0.76,0.49,0.2
PRES_0_1,0.98,0.97,,,0.98,0.92,0.44,0.69,0.81,0.29,0.84,0.16,0.33,0.89,0.56,0.75,0.48,0.19
PRES_0_0,0.02,,,,0.01,,,0.01,0.01,0.01,,,,,,0.01,0.02,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,0.92,0.92,0.84,0.4,0.84,24.89,,0.68,0.67,0.28,0.72,0.15,0.37,0.77,0.46,0.69,0.44,0.18
DEWP_1_0,0.08,0.08,,,,0.01,,0.04,0.62,0.02,,0.01,0.01,,,0.06,0.05,0.03
DEWP_0_0,0.01,0.01,,,,,,,,,,,,,,,,
WSPM_0_1,0.43,0.43,0.52,,0.45,0.27,0.14,0.19,1.63,0.13,8.28,0.06,0.13,2.8,0.4,0.32,0.2,0.09
WSPM_0_2,0.18,0.19,0.06,0.02,0.17,0.85,,0.61,0.03,0.13,0.75,0.06,0.18,,,0.14,0.08,0.05
WSPM_0_0,0.11,0.11,,,0.11,0.1,0.04,0.08,0.18,0.01,0.3,0.01,0.03,,0.05,0.08,0.06,0.02
WSPM_0_3,0.09,0.09,,,0.08,,,0.52,0.62,0.1,0.01,0.04,,,,0.08,0.04,0.01
WSPM_1_0,0.08,0.08,,,0.08,0.08,,0.05,0.12,0.02,0.17,0.01,0.05,,,0.06,0.04,0.02
WSPM_1_1,0.05,0.05,,,0.06,0.02,,0.03,,0.01,,0.01,,,,0.04,0.03,0.01
WSPM_0_4,0.04,0.04,,,0.04,,,0.59,,,,0.05,,,,0.03,0.02,
WSPM_1_2,0.01,0.01,,,0.01,,,0.02,,,,,,,,0.01,0.04,
PM10_0,0.67,0.68,0.47,0.22,0.67,0.59,0.24,0.46,0.55,0.21,0.71,0.11,0.24,0.61,0.29,0.46,0.43,0.3
PM10_1,0.29,0.29,,,0.28,0.42,,0.22,0.23,0.08,0.17,0.05,0.09,0.36,,0.27,0.09,0.03
PM10_2,0.01,0.01,,,0.01,,,0.01,,,,,,,,0.01,,
