,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,0.99,1.4,1.0,1.02,1.54,1.19,1.1,2.05,1.06,3.28,1.72,1.03,1.3,1.18,1.53,2.62
PRES_0_1,1.0,1.02,,,1.0,1.04,1.38,1.2,1.06,2.08,1.08,3.3,1.75,1.05,1.22,1.18,1.55,2.66
PRES_0_0,1.0,,66.84,,1.07,,,1.03,2.8,,,2.56,,,6.74,1.49,0.4,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.0,1.02,1.53,1.09,,,1.14,1.18,2.04,1.16,3.29,1.48,1.13,1.35,1.18,1.56,2.72
DEWP_1_0,0.99,1.01,,,,12.22,3.8,1.81,0.17,2.2,,3.25,4.1,,,1.21,1.16,
DEWP_0_0,1.0,0.81,,,,,191.45,0.84,,3.02,,,9.11,,,1.45,,
WSPM_0_1,1.0,1.0,0.82,,0.96,1.55,0.78,2.24,0.07,1.14,,2.98,0.84,,,1.22,1.5,2.72
WSPM_0_2,1.0,0.98,2.38,7.66,1.08,0.13,,0.07,5.34,0.46,,1.37,,,,1.19,1.49,1.68
WSPM_0_0,1.0,1.01,,,0.99,1.07,,0.7,0.26,7.29,0.22,8.88,3.27,,1.21,1.2,1.55,3.02
WSPM_0_3,1.0,1.02,,,1.09,,,,,0.36,10.71,0.81,,,,1.0,1.93,6.13
WSPM_1_0,1.0,1.01,,,1.0,1.06,,1.03,0.49,5.37,0.31,6.66,1.9,,,1.16,1.56,2.76
WSPM_1_1,1.0,1.02,,,0.84,2.75,11.8,1.11,,3.42,,2.38,17.19,,,1.22,1.52,
WSPM_0_4,1.0,1.02,,,1.09,,,,,,,,,23.91,,1.13,1.31,
WSPM_1_2,1.0,0.91,,,1.08,,,,,1.89,,,,,67.41,1.45,0.49,
PM10_0,1.0,0.99,1.42,2.08,0.99,1.11,2.1,1.21,1.07,2.15,0.89,3.48,1.95,1.04,1.85,1.45,0.86,1.12
PM10_1,1.0,1.01,,,1.03,0.67,,1.16,1.18,1.82,1.45,2.8,1.27,0.77,,0.69,3.12,4.2
PM10_2,1.0,1.02,,,1.07,,,1.02,,2.33,2.65,3.38,,,,0.36,2.97,72.52
