,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,46.86,64.46,,,26.34,1143.8,508.02,2096.16,,,44.31,48.31,549.77,,52.03,4241.9,9779.47,9671.85,88409.03,31336.15,14876874.18,257541451.2,27.86,55.33,43780.24
TEMP_0_0,20.87,146.78,,,16.8,1653.21,135.44,9096.49,,,16.58,51.24,3750.13,,44.74,4247.62,8892.82,7790.8,93247.77,69995.27,55482108.57,1254820877.57,29.11,48.72,47402.39
TEMP_1_1,,,17909.07,,2.77,46.16,9546.67,,,,59.99,20.89,,4616719644.14,54.08,4080.16,10137.45,11961.83,89772.46,26255.79,,,32.14,58.92,32326.97
TEMP_0_2,,,,26367466.96,,,,,55086464.56,104145891215.37,,,13467.23,,46.33,4413.75,6375.13,4441.6,110304.26,77139.28,,,29.48,51.47,37748.52
PRES_0_0,41.1,82.59,388.01,,32.09,663.67,,651.23,,,41.56,49.31,964.9,,51.65,4047.48,9134.72,9153.84,89327.76,42074.52,11797917.3,987159987.19,26.56,56.04,50814.76
PRES_1_0,27.06,121.86,,,12.51,4237.1,,,,,22.54,54.92,2478.38,,47.22,4302.68,8467.0,8197.82,93866.15,54772.25,55144697.54,,30.4,48.55,45197.37
PRES_0_1,8.63,9.33,14769.57,,,,10360.31,,,,60.93,18.17,,4137751611.89,57.48,3912.13,9612.1,9864.54,90666.36,23531.85,37391237.9,,32.69,57.98,29127.28
PRES_1_1,19.4,147.91,,,2.63,,,31197.98,,,3.47,49.57,5512.24,,35.26,5130.07,12226.37,10688.31,88624.76,69934.49,40189602.92,,31.4,44.24,30778.17
PRES_1_3,,,,26441948.13,,,,,62914578.98,,,,13505.27,,40.25,4884.74,7581.94,5282.4,120038.48,91741.77,,,31.75,48.68,38732.36
PRES_1_2,,,,25813678.7,,,,,,860650073238.15,,,13184.38,,77.95,,,,75238.4,,,,,64.5,
DEWP_1_0,32.65,48.49,4872.28,,20.5,720.73,3217.07,493.95,,,64.35,22.43,67.38,,59.19,3849.96,8473.07,7248.1,93878.49,28606.82,,,27.23,58.98,43016.59
DEWP_0_0,33.15,111.26,732.53,,20.13,1557.43,415.04,5585.07,,,17.01,82.94,,,43.07,4660.9,10921.11,11132.33,86440.46,38562.22,48054665.0,1402541755.9,31.42,48.6,40719.17
DEWP_0_1,10.42,115.61,,6193937.84,10.35,1265.29,,11913.05,12097255.52,30270367317.54,,,13530.16,,37.9,4153.1,7796.6,9501.09,94201.93,120550.91,47105256.73,,26.93,49.79,52989.43
DEWP_1_1,,,17966.84,,,,10390.26,,,,,,,104421804314.68,72.89,3543.26,10973.61,,128799.73,,,,37.99,51.46,
WSPM_0_1,30.19,81.82,2627.5,1019531.85,19.16,1155.92,1850.55,3103.53,1772053.19,8196667364.17,40.41,40.34,1624.97,868917822.15,76.97,2853.81,6764.92,5088.19,89991.03,2541.41,,,27.14,56.82,41884.54
WSPM_0_0,29.23,81.11,2432.36,815250.07,18.41,1115.75,1421.14,4964.92,1895677.55,,32.89,44.98,1807.51,,26.24,7529.11,11837.33,6436.2,145977.61,20983.93,17102497.66,,33.09,48.16,32242.97
WSPM_1_1,31.87,83.46,2719.31,813280.38,18.0,966.92,1628.74,5587.18,1536678.4,,32.91,50.11,1710.41,,43.12,5594.2,27015.17,3726.23,76583.62,14479.17,,,30.52,53.41,36229.51
WSPM_1_2,30.42,75.42,3245.96,466720.53,19.13,1009.3,1724.94,5164.86,1110490.25,,33.63,52.91,2052.7,,29.28,3979.24,2109.44,44198.83,43745.89,16707.79,,,33.24,50.39,49925.85
WSPM_1_0,29.06,80.72,2381.43,1080167.43,17.78,1321.56,1472.63,4131.38,2238468.54,,33.16,43.91,2135.6,,41.77,6323.92,9087.83,3119.53,137807.95,20411.33,,,31.01,50.09,36212.81
WSPM_0_2,21.96,107.78,1556.18,1630704.38,18.63,1314.6,899.94,6395.37,3382574.68,,22.99,29.96,5616.63,,7.95,1074.14,2651.31,1497.37,41014.27,503751.54,,,18.1,52.57,86237.03
WSPM_1_3,16.59,122.13,,,14.5,1460.93,2157.98,4843.24,,,,60.1,3546.74,,,1362.79,,,,,1397281797.74,,39.57,52.47,
WSPM_0_3,23.56,154.15,,,25.89,,,,,,,84.93,,,,,,,,,,73601979383.68,,57.81,105141.35
PM10_0,27.42,88.23,2612.35,906872.53,16.47,1272.86,1707.89,5129.86,2022904.44,,31.22,48.81,2007.14,908159272.19,43.57,4931.23,10668.94,11231.36,97010.43,31726.64,44794789.72,,38.85,38.85,20041.21
PM10_1,30.85,77.08,2661.93,1049006.79,19.74,978.62,1697.5,3680.92,1720182.8,9688959713.98,37.71,40.6,1849.9,482659958.45,55.59,3790.6,8683.42,7627.47,88936.37,44703.31,12699978.2,819463465.07,22.61,69.43,39515.35
PM10_2,32.18,93.34,1516.99,525419.77,25.51,1211.99,959.52,2450.37,1250156.13,,40.76,35.29,3327.65,,52.25,2500.85,6202.28,4264.95,68992.71,131321.84,,2666908223.96,5.78,53.42,188510.18
