,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.53,,,,,1.81,2.46,3.42,3.93,6.0,,1.17,2.17,54.75,88.42,,2.99,2.81,3.46,4.57,5.07,6.59,6.95,9.76,11.91,,1.36,2.19,4.75
TEMP_0_1,,4.68,,,,0.88,2.18,4.81,3.8,4.78,,0.98,,,,,2.09,2.05,3.41,3.71,4.53,5.52,5.18,,5.7,,0.98,1.83,3.33
TEMP_0_0,,,7.64,,,1.03,,3.94,5.36,6.45,,,3.46,,,,1.64,2.29,2.09,3.93,3.1,5.4,5.16,,7.16,,0.88,1.59,3.14
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.22,1.83,3.48,,,2.26,,,,,,1.05,2.16,,,,2.77,2.58,3.01,4.63,4.82,6.9,6.75,5.79,8.09,,1.3,1.93,3.26
PRES_1_3,1.02,2.75,,,,,3.69,,,,,0.96,1.58,,,,1.9,2.11,3.28,3.44,4.22,4.99,4.94,10.26,11.36,,1.01,1.78,4.89
PRES_1_1,0.59,2.57,3.47,,,,,8.78,,,,0.58,2.38,,,,2.07,1.57,2.09,3.61,4.34,4.34,4.46,,7.54,,0.92,1.35,2.33
PRES_1_0,0.63,1.86,4.29,,,,,,9.15,4.62,,0.66,1.94,,,,1.45,2.34,2.62,3.17,1.92,3.9,5.03,,7.31,,0.82,1.58,2.66
PRES_0_0,0.64,1.55,3.43,,,,,,3.07,13.26,,0.6,1.56,82.34,,,2.08,1.82,2.29,1.75,2.38,3.87,3.57,,,,0.52,1.74,3.55
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.33,3.43,,,,1.76,2.64,3.84,4.68,6.44,,1.34,,,,,3.16,2.86,4.07,4.9,4.98,7.25,7.26,7.64,9.64,,1.37,2.37,4.89
DEWP_0_1,0.81,,6.53,,,1.2,1.43,5.16,4.57,5.53,,,4.06,,,,1.64,2.52,2.2,4.05,4.97,5.38,5.5,7.02,11.77,,1.1,1.66,3.42
DEWP_0_0,0.46,,,,,,,,,6.32,,,,175.41,,,1.67,,,,,,,,,,,1.02,
DEWP_1_0,0.4,,,,,,,,,,,,,,282.89,,1.44,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,0.97,2.07,2.64,,,1.33,1.49,3.8,3.04,6.23,,0.9,1.42,64.01,89.63,,4.69,,,,,,2.26,,,,0.75,2.12,4.91
WSPM_0_1,0.91,2.03,3.71,,,1.24,1.66,2.94,4.7,5.55,,0.81,2.18,,,,,4.57,,,,1.84,4.55,,,,1.06,1.65,2.68
WSPM_0_2,0.81,2.45,2.5,,,1.04,1.88,2.83,3.89,4.79,,0.84,1.37,,,,,,6.45,,,,3.04,,,,0.76,2.01,3.59
WSPM_0_0,0.74,1.86,3.2,,,1.11,1.35,3.34,3.01,3.52,,0.7,1.73,,,,,,,7.32,2.45,4.96,8.83,,,,1.05,0.8,1.44
WSPM_1_2,0.74,2.03,2.27,,,1.03,1.49,3.7,1.76,3.63,,0.64,1.94,,,,,,,1.95,10.03,,,,,,1.03,0.74,
WSPM_1_1,0.66,1.69,2.71,,,1.02,1.18,2.5,2.58,3.64,,0.64,1.43,,,,,0.79,,2.65,,13.93,,,,,0.91,0.85,
WSPM_1_0,0.68,1.56,2.55,,,0.99,1.18,2.65,3.21,2.49,,0.63,1.44,,,,0.6,1.25,0.92,5.72,,,8.96,,,,0.87,0.89,1.61
WSPM_0_4,0.82,,,,,0.72,2.09,,,,,0.56,1.59,,,,,,,,,,,18.0,,,0.34,1.65,4.35
WSPM_1_3,0.65,0.91,1.96,,,0.65,1.49,2.37,2.31,,,0.46,1.68,,,,,,,,,,,,27.58,,0.76,0.51,2.37
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.22,2.69,3.93,,,1.73,2.18,4.74,4.52,4.59,,1.08,2.6,,,,2.03,2.94,2.81,5.67,6.48,8.33,8.02,3.25,12.99,,1.66,0.94,
PM10_1,0.98,2.5,3.55,,,1.28,1.91,3.47,4.53,7.09,,0.93,1.98,48.78,,,2.93,2.29,3.88,2.31,1.62,3.01,4.24,8.91,3.85,,0.47,3.15,2.39
PM10_2,0.81,1.72,2.68,,,0.81,2.01,2.25,2.79,5.82,,0.73,1.56,,,,2.64,1.33,2.72,1.66,,,2.26,8.84,5.24,,,0.93,8.38
