,ENE_0,E_0,NE_0,ESE_0,SW_0,SE_0,N_0,SSW_0,NW_0,S_0,NNW_0,NNE_0,SSE_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,NW_2,NE_1,E_1,NW_1,SW_1,SW_2,NNE_2,WSW_1,ESE_1,SSW_1,NW_3,NNW_1,SE_1,N_1,ENE_2,SW_3,WSW_2,E_2,NE_2,NNW_2,WNW_1,S_1,SSE_1,SSW_2,NW_4,ESE_2,NE_3,WSW_3,ENE_3,NE_4,WNW_2,SW_4,NE_6,WSW_4,nan_0,E_3,NE_5,S_2,NNW_3,E_4,N_2,SSW_3,W_1,ESE_3,ENE_4,W_2,SE_2,ESE_5,SE_4,N_3,NNW_4,WNW_3,ESE_4,WNW_4,SSW_6,SE_3,N_5,ENE_5,ENE_7,WSW_5,SSW_4,SSE_3,S_3,SSE_2,ENE_6,WNW_5,N_4,WNW_6,SSW_5,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE_0,0.82,0.82,0.8,0.77,0.86,0.78,0.78,0.84,0.84,0.77,0.84,0.7,0.83,0.89,0.86,0.96,0.66,0.7,,0.81,0.67,,1.03,,0.83,,0.93,0.75,,,,0.64,0.64,,,0.72,0.81,,,,0.73,,,0.69,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.15,1.59,1.18,1.49,1.47,1.5,1.45,1.48,1.49,1.65,0.48,1.52,1.25
E_0,0.83,0.83,0.85,0.77,0.84,0.78,0.88,0.79,0.87,0.78,0.84,0.73,0.74,0.9,0.84,0.9,0.8,0.78,,0.89,0.71,,0.75,,0.69,0.87,0.77,0.7,,,0.79,0.74,0.63,,,0.8,0.82,,,0.87,0.97,,,0.61,,,0.68,,,,,,0.63,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.12,1.61,1.15,1.49,1.49,1.49,1.5,1.47,1.53,1.66,0.46,1.53,1.24
NE_0,0.84,0.86,0.82,0.88,1.03,0.85,0.77,0.93,0.88,0.81,0.82,0.68,0.8,1.0,0.87,0.96,0.68,0.69,0.89,0.73,0.84,0.72,0.8,,0.9,,1.3,,,0.61,,0.63,0.62,,,0.78,0.67,,,,,,,,0.71,,0.67,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.22,1.61,1.25,1.54,1.48,1.58,1.47,1.54,1.51,1.69,0.68,1.56,1.2
ESE_0,0.98,0.9,0.96,0.83,0.88,0.8,0.98,0.78,0.88,0.76,1.04,0.92,0.7,0.85,0.91,0.87,0.82,0.72,,0.88,0.67,,1.01,0.87,0.9,,0.64,0.68,,,0.6,,1.0,,,0.67,,,,0.7,0.53,,,0.58,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,1.72,1.17,1.7,1.19,1.56,1.58,1.55,1.59,1.53,1.63,1.75,0.53,1.62,1.34
SW_0,1.26,1.16,1.09,1.11,0.78,1.04,1.09,0.79,1.13,0.85,1.2,1.0,0.95,0.71,0.95,0.73,1.22,1.49,,,1.13,1.08,0.65,0.8,,0.58,,0.63,,,,,,0.91,0.56,,,,,0.71,0.79,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,1.35,1.76,1.33,1.67,1.7,1.61,1.81,1.61,1.78,1.86,,1.75,1.37
SE_0,1.11,1.0,1.12,0.88,0.88,0.8,1.23,0.81,1.1,0.77,1.0,1.1,0.77,0.89,0.89,0.92,1.44,1.09,,1.01,0.83,,0.82,,,0.97,0.73,0.67,,,0.57,,,,,0.87,,,,0.73,0.67,,,0.67,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.27,1.82,1.3,1.68,1.71,1.66,1.76,1.63,1.76,1.88,,1.74,1.51
N_0,1.01,1.01,0.96,0.96,1.11,0.94,0.8,0.94,0.9,1.04,0.77,0.81,0.91,0.93,0.82,0.81,0.74,1.04,1.06,0.97,1.18,1.01,,,0.64,,,,,0.81,,0.83,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,1.67,1.74,1.67,1.73,1.67,1.77,1.62,1.79,1.63,1.89,,1.76,1.23
SSW_0,1.37,1.33,1.4,1.14,0.83,0.98,1.34,0.78,1.02,0.79,1.25,1.26,0.84,0.76,0.98,0.79,,1.01,,,1.24,,0.61,0.49,,0.51,,0.71,,,,,,,,,,,,0.55,0.63,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.39,1.79,1.34,1.67,1.77,1.61,1.91,1.63,1.8,1.9,,1.8,1.37
NW_0,1.25,1.26,1.09,1.4,0.97,1.13,0.84,1.37,0.76,1.16,0.74,0.93,1.13,0.99,0.72,0.84,0.66,1.19,0.72,0.95,,0.77,,,,,,,0.69,0.7,,0.84,,,,,,0.63,0.54,,,,,,,,,,0.51,,,,0.6,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,2.26,1.77,1.92,1.79,1.66,1.85,1.64,2.0,1.6,1.92,,1.9,1.24
S_0,1.39,1.22,1.51,1.07,0.83,0.91,1.17,0.76,1.46,0.78,1.22,1.34,0.78,0.82,1.05,0.78,1.32,1.46,,,0.94,,0.46,0.73,,,,0.56,,,0.67,,,,,,,,,0.67,0.62,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.38,1.86,1.35,1.7,1.83,1.66,1.93,1.67,1.87,1.95,,1.81,1.45
NNW_0,1.14,1.22,1.07,1.07,1.2,1.29,0.84,1.12,0.82,1.12,0.77,0.82,1.24,1.08,0.8,0.83,0.74,1.05,0.8,,,0.77,,,0.76,,,,0.82,1.01,,0.62,,,,,,0.66,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,2.17,1.81,2.0,1.82,1.71,1.88,1.68,1.98,1.65,1.97,,1.89,1.29
NNE_0,1.02,1.07,0.97,0.98,1.12,0.92,0.84,0.96,0.99,0.92,0.91,0.85,0.97,1.0,0.93,1.01,0.82,1.05,1.23,0.8,1.21,0.86,,,0.88,,,,,0.76,,1.02,0.89,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.53,1.84,1.56,1.75,1.8,1.8,1.73,1.81,1.75,1.97,,1.81,1.29
SSE_0,1.21,1.15,1.36,1.08,0.84,0.84,1.29,0.82,1.23,0.8,1.06,1.23,0.79,0.84,1.03,0.86,1.53,1.05,,,1.52,,0.63,,,,0.71,0.64,,,0.69,,,,,,,,,0.62,0.7,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,1.35,1.9,1.35,1.74,1.78,1.71,1.89,1.7,1.91,1.98,,1.83,1.45
WSW_0,1.12,1.11,1.09,1.11,0.87,1.11,1.17,0.98,1.06,1.04,1.04,1.01,1.12,0.78,0.84,0.7,0.95,1.49,,,,1.23,0.88,0.79,,0.61,,0.95,,,,,,0.87,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,1.52,1.88,1.48,1.8,1.79,1.74,1.9,1.74,1.84,1.99,,1.87,1.48
WNW_0,1.28,1.27,1.18,1.21,1.04,1.38,1.03,1.17,0.82,1.29,0.86,1.03,1.29,1.03,0.76,0.9,0.79,,0.73,,,0.74,,,,0.75,,,1.01,0.76,,,,,,,,0.79,0.49,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,2.24,1.87,1.94,1.9,1.79,1.9,1.78,2.04,1.73,2.05,,2.0,1.33
W_0,1.05,1.05,0.97,1.12,1.04,1.11,1.17,1.13,0.98,1.22,1.1,0.96,1.23,0.92,0.79,0.78,0.88,,,,,1.03,1.31,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,1.62,2.01,1.61,1.95,1.86,1.88,1.93,1.89,1.88,2.12,,1.99,1.68
NNE_1,1.33,1.22,1.19,1.49,1.21,1.09,1.02,,1.45,1.31,1.16,0.99,1.15,1.51,1.51,1.48,0.64,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,2.02,2.27,1.96,2.15,2.22,2.2,2.12,2.21,2.17,2.43,,2.22,1.74
