,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.99,0.04,0.01,0.93,0.16,0.03,0.62,0.31,0.33,0.18,0.36,0.17,0.1,0.05,0.84,0.55,0.06
PRES_0_1,1.0,1.0,,,0.94,0.16,0.02,0.62,0.3,0.33,0.18,0.36,0.17,0.1,0.05,0.84,0.55,0.06
PRES_0_0,2.92,,1.01,,2.86,,,1.73,1.49,0.55,,0.95,,,0.29,2.65,0.95,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.01,0.04,0.01,1.0,0.03,,0.62,0.33,0.34,0.19,0.37,0.16,0.1,0.05,0.86,0.57,0.06
DEWP_1_0,1.85,1.85,,,,0.99,0.07,1.42,0.27,0.64,,0.67,0.47,,,1.55,0.92,0.1
DEWP_0_0,4.03,3.36,,,,1.82,0.98,2.09,,1.4,,1.13,1.34,,,3.65,2.31,
WSPM_0_1,1.23,1.22,0.05,,1.13,0.23,0.03,0.99,0.16,0.4,,0.48,0.18,,0.03,1.06,0.66,0.08
WSPM_0_2,1.53,1.5,0.1,0.03,1.49,0.08,,0.35,0.99,0.31,0.07,0.4,0.05,,,1.29,0.79,0.07
WSPM_0_0,1.73,1.72,,,1.61,0.29,0.06,1.05,0.3,0.9,0.15,0.87,0.42,,0.1,1.46,1.03,0.11
WSPM_0_3,1.82,1.81,,,1.78,,,,0.25,0.32,0.99,0.35,,,,1.44,1.09,0.17
WSPM_1_0,1.86,1.84,,,1.74,0.29,,1.18,0.41,0.83,0.19,0.8,0.35,,,1.55,1.06,0.11
WSPM_1_1,2.14,2.13,,,1.83,0.57,0.13,1.44,,0.75,,0.58,0.91,,,1.76,1.28,
WSPM_0_4,2.22,2.21,,,2.17,,,,,,,0.38,,1.0,,1.81,1.17,
WSPM_1_2,2.99,2.77,,,2.92,,,1.61,,1.08,,0.78,,,0.98,2.65,1.55,
PM10_0,1.1,1.09,0.06,0.01,1.03,0.18,0.03,0.69,0.34,0.38,0.18,0.41,0.2,0.11,0.07,0.99,0.51,0.05
PM10_1,1.36,1.35,,,1.29,0.16,,0.83,0.43,0.4,0.27,0.44,0.18,0.11,,1.01,0.97,0.1
PM10_2,3.26,3.25,,,3.15,,,2.09,,1.11,0.85,1.18,,,,1.8,2.42,0.81
