,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.56,0.37,0.99,0.71,0.43,0.85,0.78,0.63,0.71,0.55,0.58,0.64,0.52,0.97,0.63
PRES_0_1,1.0,1.0,,,0.99,0.71,0.44,0.86,0.78,0.63,0.71,0.55,0.58,0.64,0.53,0.97,0.63
PRES_0_0,2.43,,0.59,,2.38,,,2.07,1.62,1.75,,1.35,,,0.86,2.32,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.55,0.37,0.99,,,0.88,0.78,0.64,0.71,0.56,0.62,0.64,0.51,0.98,0.63
DEWP_1_0,1.66,1.65,,,,0.72,0.36,1.3,2.25,1.03,,0.92,0.78,,,1.62,1.17
DEWP_0_0,3.34,3.15,,,,2.12,0.56,2.65,,1.35,,1.18,1.42,,,3.2,
WSPM_0_1,1.19,1.18,0.7,,1.18,0.77,0.44,0.9,1.53,0.85,,0.69,0.65,,0.61,1.15,0.74
WSPM_0_2,1.41,1.42,0.63,0.37,1.38,1.29,,1.95,0.8,1.19,,0.94,,,,1.36,0.84
WSPM_0_0,1.57,1.56,,,1.55,1.1,,1.39,1.31,0.78,1.49,0.69,1.05,,0.82,1.51,0.97
WSPM_0_3,1.63,1.62,,,1.58,,,,,1.56,0.73,1.11,,,,1.59,0.95
WSPM_1_0,1.66,1.65,,,1.64,1.17,,1.4,1.51,0.9,1.42,0.8,1.35,,,1.6,1.18
WSPM_1_1,1.86,1.85,,,1.89,1.15,0.63,1.85,,0.84,,0.79,0.7,,,1.77,1.34
WSPM_0_4,1.91,1.9,,,1.86,,,,,,,1.94,,0.66,,1.87,1.38
WSPM_1_2,2.47,2.44,,,2.42,,,3.5,,1.48,,1.74,,,0.59,2.36,
PM10_0,1.03,1.03,0.56,0.37,1.01,0.73,0.43,0.87,0.8,0.66,0.74,0.57,0.6,0.67,0.52,0.98,0.7
PM10_1,1.62,1.61,,,1.59,1.29,,1.4,1.32,0.88,1.04,0.76,0.85,1.15,,1.66,0.76
