,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.49,0.32,0.98,0.65,0.39,0.87,0.75,0.69,0.67,0.65,0.6,0.58,0.48,0.98,0.67
PRES_0_1,1.0,1.0,,,0.99,0.65,0.4,0.87,0.75,0.69,0.67,0.66,0.6,0.58,0.48,0.98,0.67
PRES_0_0,2.09,,1.02,,2.07,,,1.77,1.62,1.35,,1.34,,,0.95,2.05,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.01,0.48,0.32,1.0,,,0.88,0.76,0.7,0.68,0.67,0.61,0.59,0.48,0.99,0.68
DEWP_1_0,1.52,1.52,,,,1.0,0.4,1.32,1.34,1.05,,1.01,0.88,,,1.49,1.04
DEWP_0_0,2.73,2.51,,,,2.21,1.09,2.11,,1.38,,1.22,1.64,,,2.67,
WSPM_0_1,1.15,1.15,0.56,,1.14,0.75,0.37,1.0,0.87,0.82,,0.79,0.6,,0.42,1.13,0.76
WSPM_0_2,1.33,1.33,0.62,0.42,1.31,0.77,,1.11,1.0,0.94,,0.9,,,,1.3,0.85
WSPM_0_0,1.45,1.45,,,1.43,0.95,,1.22,0.93,1.0,0.97,0.93,1.09,,0.7,1.42,0.98
WSPM_0_3,1.5,1.5,,,1.48,,,,,1.12,1.0,0.94,,,,1.48,1.02
WSPM_1_0,1.53,1.52,,,1.5,0.99,,1.29,1.17,1.07,0.98,1.0,1.22,,,1.49,1.14
WSPM_1_1,1.68,1.67,,,1.64,1.16,0.76,1.66,,0.95,,0.85,1.0,,,1.63,1.27
WSPM_0_4,1.72,1.71,,,1.69,,,,,,,1.38,,1.0,,1.67,1.16
WSPM_1_2,2.12,2.07,,,2.11,,,2.4,,1.4,,1.42,,,1.02,2.07,
PM10_0,1.02,1.02,0.5,0.32,1.01,0.67,0.41,0.88,0.77,0.71,0.68,0.68,0.62,0.6,0.49,1.0,0.68
PM10_1,1.49,1.49,,,1.47,0.95,,1.3,1.16,0.88,0.99,0.82,0.76,0.87,,1.46,1.0
