,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.15,0.72,,,0.16,0.59,1.09,1.19,,,0.21,0.23,1.32,,0.25,0.6,0.67,0.76,1.07,1.73,9.19,,0.21,0.23,1.11
TEMP_0_0,0.29,0.08,,,0.11,0.2,1.07,0.26,,,0.16,0.11,0.24,,0.11,0.3,0.53,0.53,0.61,0.54,2.29,4.66,0.1,0.12,0.54
TEMP_1_1,,,0.01,,0.01,,0.01,,,,,0.01,,0.17,0.01,0.02,0.02,0.02,0.03,0.05,,,0.01,0.01,0.04
TEMP_0_2,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,0.22,0.38,2.21,,0.18,2.0,,,,,0.27,0.29,1.26,,0.3,0.77,0.97,1.05,1.46,1.77,10.42,14.81,0.28,0.28,1.26
PRES_1_0,0.02,0.01,,,0.04,0.02,,,,,0.02,0.01,0.04,,0.02,0.04,0.06,0.06,0.07,0.08,0.34,,0.01,0.02,0.08
PRES_0_1,0.02,0.04,0.01,,,,0.01,,,,0.01,0.02,,0.25,0.01,0.03,0.03,0.03,0.05,0.07,0.23,,0.01,0.01,0.06
PRES_1_1,0.01,,,,,,,0.01,,,0.02,,0.01,,0.01,0.01,0.01,0.02,0.02,0.02,0.13,,,0.01,0.04
PRES_1_3,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.16,0.32,0.42,,0.15,0.56,0.37,2.36,,,0.13,0.63,,,0.17,0.51,0.73,0.83,0.97,1.33,,,0.19,0.18,0.87
DEWP_0_0,0.15,0.17,0.91,,0.13,0.32,0.87,0.47,,,0.51,0.11,,,0.19,0.41,0.49,0.52,0.79,1.16,3.63,6.68,0.13,0.18,1.01
DEWP_0_1,0.01,0.01,,0.04,0.01,0.02,,0.02,0.05,0.32,,,0.01,,0.01,0.02,0.03,0.03,0.04,0.03,0.17,,0.01,0.01,0.03
DEWP_1_1,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_1,0.16,0.19,0.5,2.08,0.14,0.37,0.43,0.67,2.71,12.37,0.15,0.2,0.55,10.1,0.12,,1.38,2.36,1.28,,,,0.17,0.16,0.81
WSPM_0_0,0.01,0.01,0.03,0.14,0.01,0.02,0.03,0.03,0.15,,0.01,0.01,0.03,,,0.01,0.04,0.07,0.03,,,,0.01,0.01,0.08
WSPM_1_1,,0.01,0.01,0.07,,0.01,0.01,0.01,0.08,,0.01,,0.01,,0.02,0.01,0.01,,,,,,,,0.03
WSPM_1_2,,0.01,0.01,0.07,,0.01,0.01,0.01,0.07,,,,0.01,,0.01,0.02,,,,,,,,,0.02
WSPM_1_0,,,,0.02,,,,0.01,0.02,,,,,,,,,,,0.02,,,,,0.01
WSPM_0_2,,,,0.01,,,,,0.01,,,,,,,,,,0.01,,,,,,
WSPM_1_3,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.24,0.29,0.76,3.3,0.24,0.54,0.67,0.78,3.67,,0.28,0.24,0.73,15.27,0.28,0.59,0.84,0.85,1.18,2.01,6.06,,0.17,0.53,
PM10_1,0.16,0.22,0.53,2.24,0.15,0.45,0.48,0.67,2.86,13.27,0.16,0.2,0.54,14.38,0.17,0.52,0.61,0.76,0.94,1.02,6.37,9.41,0.33,0.13,1.34
PM10_2,,,0.01,0.02,,,0.01,0.01,0.03,,,,,,,0.01,0.01,0.01,0.01,0.01,,0.05,,,
