,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,0.95,,,,,0.93,0.88,0.86,0.81,0.72,,1.05,0.93,0.4,0.36,,0.84,0.85,0.82,0.77,0.74,0.7,0.69,0.61,0.59,,1.06,0.87
TEMP_0_1,,0.84,,,,1.51,1.12,0.9,1.0,0.96,,1.36,,,,,1.17,1.18,1.0,1.0,0.94,0.91,0.94,,1.0,,1.45,1.16
TEMP_0_0,,,0.8,,,1.54,,1.05,0.95,0.92,,,1.02,,,,1.4,1.22,1.3,1.07,1.19,1.0,1.02,,0.96,,1.65,1.31
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.12,1.09,0.89,,,0.91,,,,,,1.17,1.0,,,,0.92,0.94,0.93,0.81,0.82,0.74,0.74,0.81,0.74,,1.16,1.04
PRES_1_3,1.3,1.0,,,,,0.87,,,,,1.31,1.23,,,,1.16,1.11,0.96,1.0,0.93,0.93,0.92,0.7,0.7,,1.39,1.03
PRES_1_1,1.87,1.2,1.13,,,,,0.79,,,,1.86,1.21,,,,1.32,1.45,1.35,1.14,1.06,1.12,1.07,,0.96,,1.69,1.49
PRES_1_0,1.86,1.38,1.05,,,,,,0.79,1.1,,1.8,1.33,,,,1.49,1.27,1.24,1.27,1.5,1.14,1.04,,1.04,,1.74,1.43
PRES_0_0,1.98,1.59,1.23,,,,,,1.32,0.77,,2.0,1.56,0.52,,,1.43,1.49,1.47,1.36,1.38,1.27,1.61,,,,2.11,1.37
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.99,0.77,,,,0.92,0.83,0.8,0.74,0.69,,0.97,,,,,0.8,0.83,0.75,0.73,0.73,0.66,0.66,0.66,0.64,,1.03,0.83
DEWP_0_1,1.45,,0.77,,,1.3,1.28,0.85,0.91,0.88,,,0.86,,,,1.25,1.05,1.16,0.96,0.89,0.9,0.89,0.81,0.71,,1.38,1.14
DEWP_0_0,3.46,,,,,,,,,1.55,,,,0.57,,,2.37,,,,,,,,,,4.06,2.79
DEWP_1_0,4.11,,,,,,,,,,,,,,0.57,,3.12,,,,,,,,,,,3.35
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.39,1.17,1.12,,,1.28,1.3,0.98,1.12,0.85,,1.41,1.34,0.46,0.39,,0.85,,,,,,1.44,,,,1.55,1.03
WSPM_0_1,1.42,1.18,0.98,,,1.32,1.24,1.1,0.91,0.9,,1.46,1.13,,,,,0.85,,,,1.13,1.06,,,,1.41,1.31
WSPM_0_2,1.57,1.16,1.23,,,1.49,1.26,1.18,1.06,0.98,,1.53,1.44,,,,,,0.82,,,,1.55,,,,1.63,1.18
WSPM_0_0,1.74,1.38,1.17,,,1.55,1.52,1.17,1.18,1.48,,1.75,1.38,,,,,,,0.86,1.48,1.18,0.81,,,,1.68,1.82
WSPM_1_2,1.77,1.35,1.37,,,1.61,1.48,1.15,1.56,1.31,,1.84,1.35,,,,,,,1.37,0.78,,,,,,1.69,2.78
WSPM_1_1,1.98,1.55,1.36,,,1.74,1.71,1.43,1.48,1.31,,1.97,1.63,,,,,2.65,,1.28,,0.77,,,,,1.89,2.29
WSPM_1_0,1.95,1.6,1.4,,,1.77,1.75,1.44,1.34,1.25,,1.99,1.63,,,,2.14,1.64,1.63,1.09,,,0.92,,,,1.91,2.0
WSPM_0_4,1.86,,,,,2.05,1.42,,,,,2.12,1.62,,,,,,,,,,,0.73,,,2.55,1.34
WSPM_1_3,2.2,2.13,1.72,,,2.3,1.75,1.62,1.56,,,2.48,1.67,,,,,,,,,,,,0.7,,2.23,2.51
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.0,0.82,0.75,,,0.91,0.88,0.72,0.72,0.71,,1.03,0.83,0.43,,,0.87,0.8,0.78,0.69,0.68,0.64,0.64,0.75,0.59,,0.98,1.23
PM10_1,1.38,1.1,1.01,,,1.37,1.09,1.06,1.0,0.8,,1.39,1.18,0.56,0.36,,0.99,1.2,1.01,1.33,1.18,1.13,1.09,0.71,0.82,,2.08,0.87
