,ENE_0,E_0,NE_0,ESE_0,SW_0,SE_0,N_0,SSW_0,NW_0,S_0,NNW_0,NNE_0,SSE_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,NW_2,NE_1,E_1,NW_1,SW_1,SW_2,NNE_2,WSW_1,ESE_1,SSW_1,NW_3,NNW_1,SE_1,N_1,ENE_2,SW_3,WSW_2,E_2,NE_2,NNW_2,WNW_1,S_1,SSE_1,SSW_2,NW_4,ESE_2,NE_3,WSW_3,ENE_3,NE_4,WNW_2,SW_4,NE_6,WSW_4,nan_0,E_3,NE_5,S_2,NNW_3,E_4,N_2,SSW_3,W_1,ESE_3,ENE_4,W_2,SE_2,ESE_5,SE_4,N_3,NNW_4,WNW_3,ESE_4,WNW_4,SSW_6,SE_3,N_5,ENE_5,ENE_7,WSW_5,SSW_4,SSE_3,S_3,SSE_2,ENE_6,WNW_5,N_4,WNW_6,SSW_5,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE_0,1.0,0.99,0.97,0.87,0.81,0.83,0.83,0.76,0.8,0.73,0.83,0.82,0.78,0.84,0.77,0.88,0.61,0.6,0.76,0.74,0.6,0.45,0.62,0.61,0.65,0.99,0.68,0.52,,,0.82,0.44,0.48,,,0.55,0.59,,,,0.42,,,0.44,,,0.64,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.17,1.64,1.23,1.48,1.48,1.5,1.46,1.49,1.46,1.73,0.36,1.64,1.13
E_0,1.0,1.0,0.99,0.91,0.83,0.87,0.9,0.77,0.82,0.8,0.83,0.8,0.78,0.83,0.77,0.86,0.7,0.71,0.48,0.73,0.57,0.55,0.53,0.63,0.48,0.67,0.68,0.45,,,0.59,0.5,0.47,,,0.61,0.51,,,0.7,0.63,,,0.42,,,0.5,,,,,,0.48,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.14,1.66,1.2,1.5,1.49,1.5,1.49,1.5,1.49,1.75,0.37,1.66,1.16
NE_0,1.03,1.0,1.0,0.96,0.93,0.85,0.86,0.83,0.88,0.76,0.84,0.81,0.77,0.9,0.83,0.93,0.67,0.63,0.57,0.6,0.71,0.48,0.59,,0.71,,0.8,,,0.43,,0.53,0.5,,,0.52,0.54,,,,,,,0.49,0.48,,0.54,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,1.23,1.67,1.28,1.52,1.52,1.56,1.5,1.54,1.5,1.79,0.51,1.69,1.13
ESE_0,1.12,1.09,1.04,1.0,0.85,0.95,0.96,0.83,0.78,0.83,0.93,0.94,0.81,0.82,0.83,0.82,0.68,0.59,,0.7,0.68,,0.54,0.63,0.54,0.72,0.55,0.47,,,0.55,,0.64,,,0.53,,,,0.55,0.42,0.55,,0.4,,,,,,,,,,0.47,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,1.78,1.21,1.77,1.24,1.61,1.56,1.6,1.57,1.59,1.57,1.85,0.42,1.75,1.32
SW_0,1.25,1.19,1.1,1.16,1.0,1.09,1.02,1.0,1.08,1.02,1.03,0.95,1.01,0.89,0.94,0.83,0.75,0.87,,,0.83,0.75,0.62,0.67,,0.55,,0.62,,,,,,0.68,0.47,,,,,0.53,0.61,0.46,,,,0.37,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.28,1.89,1.27,1.76,1.65,1.68,1.77,1.67,1.75,1.99,,1.9,1.51
SE_0,1.22,1.14,1.18,1.07,0.95,1.0,1.12,0.93,0.94,0.91,0.87,1.08,0.95,0.88,0.78,0.85,1.1,0.85,,0.78,0.76,,0.64,0.96,,0.6,0.65,0.52,,,0.49,,0.61,,,0.66,,,,0.5,0.61,,,0.6,,,,,,,,,0.52,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.31,1.93,1.35,1.76,1.68,1.72,1.73,1.71,1.71,2.01,0.43,1.9,1.52
N_0,1.17,1.11,1.13,1.01,0.96,0.9,1.0,0.86,0.99,0.88,0.95,0.99,0.84,0.86,0.86,0.79,0.77,0.84,0.81,0.78,0.91,0.83,,,0.61,,,,,0.76,,0.74,,,,,0.64,0.58,0.69,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.57,1.87,1.6,1.74,1.72,1.77,1.67,1.78,1.68,2.01,,1.9,1.32
SSW_0,1.35,1.35,1.28,1.23,1.05,1.09,1.17,1.0,0.96,1.0,1.01,1.19,1.0,0.9,0.95,0.84,,0.84,,,0.77,,0.6,0.44,,0.43,0.6,0.64,,,,,,0.61,,,,,,0.51,0.55,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.32,1.93,1.31,1.8,1.69,1.72,1.84,1.72,1.74,2.03,,1.95,1.51
NW_0,1.22,1.25,1.16,1.26,0.91,1.06,1.01,1.12,1.0,0.97,0.95,0.97,0.96,0.96,0.94,0.9,0.55,0.86,0.73,0.66,,0.74,,,0.69,,,,0.52,0.74,,0.61,,,,,,0.58,0.55,,,,,,,,,,0.47,,,,0.55,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.93,1.91,1.79,1.76,1.75,1.82,1.71,1.88,1.72,2.06,,1.96,1.45
S_0,1.38,1.3,1.35,1.22,1.01,1.09,1.14,0.98,1.15,1.0,1.11,1.22,0.99,0.93,0.93,0.8,0.96,1.0,,0.91,0.73,,0.38,0.59,,,,0.54,,,0.54,,,,,,,,,0.58,0.57,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.37,1.99,1.36,1.83,1.74,1.76,1.84,1.78,1.8,2.09,,1.98,1.56
