,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.39,,0.98,0.57,0.29,0.83,0.68,0.61,0.58,0.57,0.5,0.49,0.38,0.97,0.59
PRES_0_1,1.0,1.0,,,0.98,0.57,0.3,0.83,0.68,0.61,0.59,0.57,0.51,0.49,0.38,0.97,0.59
PRES_0_0,2.59,,1.0,,2.55,,,2.13,1.79,,,,,,0.98,2.51,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.39,,1.0,,,0.84,0.7,0.62,0.6,0.58,0.52,0.5,0.38,0.99,0.6
DEWP_1_0,1.76,1.75,,,,1.0,,1.45,1.24,1.08,,1.0,0.89,,,1.71,1.03
DEWP_0_0,3.43,3.37,,,,,1.0,,,,,,1.64,,,3.33,
WSPM_0_1,1.21,1.21,0.47,,1.19,0.69,,1.0,,,,0.72,0.5,,,1.18,0.7
WSPM_0_2,1.47,1.46,0.56,,1.44,0.81,,,1.0,,,0.86,,,,1.43,0.82
WSPM_0_0,1.64,1.63,,,1.61,0.93,,,,1.0,,0.91,1.01,,,1.58,1.02
WSPM_0_3,1.71,1.7,,,1.68,,,,,,1.0,0.94,,,,1.67,0.99
WSPM_1_0,1.75,1.74,,,1.71,1.0,,1.38,1.16,1.1,1.07,1.0,,,,1.68,1.14
WSPM_1_1,1.98,1.97,,,1.94,1.13,0.61,2.02,,0.99,,,1.0,,,1.92,1.19
WSPM_0_4,2.05,2.04,,,2.01,,,,,,,,,1.0,,1.98,1.2
WSPM_1_2,2.63,2.62,1.02,,2.6,,,,,,,,,,1.0,2.55,
PM10_0,1.03,1.03,0.4,,1.01,0.59,0.3,0.85,0.7,0.63,0.6,0.59,0.52,0.5,0.39,1.0,0.6
PM10_1,1.7,1.7,,,1.67,0.97,,1.43,1.22,0.98,1.01,0.88,0.84,0.83,,1.65,1.0
