,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.07,20429082.95,1151902175999.55,1.43,24373.04,5711601359.68,40.57,1081.08,20271.47,15731.76,108739.96,499207.77,362784.83,48972449.26,6.28,273.64,718149876.84
PRES_0_1,1.0,1.08,,,1.43,24768.83,5326344636.95,40.65,1049.54,20494.68,15987.22,109089.01,507314.22,368675.96,46301288.01,6.27,276.56,729811644.97
PRES_0_0,1.0,,1376078075.71,,1.56,,,38.58,2879.88,7023.98,,93905.01,,,196938768.25,7.26,101.07,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.07,20960589.96,1259371180897.04,1.56,714.4,,38.81,1165.55,20103.03,17199.49,108825.56,430880.81,396631.56,51410429.09,6.29,278.21,739235829.26
DEWP_1_0,0.98,1.07,,,,283449.27,18269595464.67,60.89,185.28,21736.3,,108543.14,1192467.73,,,6.16,221.83,467120338.59
DEWP_0_0,0.97,0.83,,,,177412.03,501711198529.88,33.73,,28312.04,,94627.36,1947395.83,,,7.07,276.62,
WSPM_0_1,1.0,1.07,16870275.43,,1.36,36065.41,5175016329.72,67.34,187.9,18852.23,,123243.31,434510.61,,17058303.78,6.44,266.13,754689881.42
WSPM_0_2,1.0,1.04,49001740.62,6301540484203.36,1.54,3038.44,,5.84,4790.19,7491.95,1503.26,56436.15,37172.53,,,6.36,257.8,436519564.18
WSPM_0_0,1.0,1.07,,,1.41,26962.8,9140772093.18,37.99,382.7,50057.71,4049.56,216699.56,895589.3,,59658480.93,6.28,294.32,875990658.93
WSPM_0_3,1.0,1.08,,,1.56,,,,168.95,5439.26,149494.03,33329.34,,,,5.52,328.52,1551698595.99
WSPM_1_0,1.0,1.07,,,1.42,25426.25,,43.3,565.08,36289.61,5551.93,156899.09,515253.99,,,6.3,280.12,754237724.45
WSPM_1_1,1.0,1.08,,,1.21,68316.24,30911116497.1,47.41,,27182.69,,82787.73,3296340.26,,,6.14,297.48,
WSPM_0_4,1.0,1.08,,,1.56,,,,,,,20166.49,,8078814.01,,5.95,246.52,
WSPM_1_2,1.0,0.98,,,1.56,,,25.96,,25559.48,,55357.0,,,1970755312.88,7.08,143.02,
PM10_0,1.0,1.06,29200288.32,1712328975913.08,1.42,26663.36,7691327335.95,41.23,1071.36,21267.42,13377.8,113358.34,563633.51,363642.01,70263390.84,7.14,197.77,383942070.75
PM10_1,1.0,1.08,,,1.47,15226.83,,38.84,1134.79,17807.64,20988.9,97122.62,373768.15,277255.69,,4.85,457.95,1217875561.95
PM10_2,1.0,1.08,,,1.52,,,39.94,,20447.59,36915.3,110398.58,,,,2.98,471.51,12115185191.77
