,ENE_0,E_0,NE_0,ESE_0,SW_0,SE_0,N_0,SSW_0,NW_0,S_0,NNW_0,NNE_0,SSE_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,NW_2,NE_1,E_1,NW_1,SW_1,SW_2,NNE_2,WSW_1,ESE_1,SSW_1,NW_3,NNW_1,SE_1,N_1,ENE_2,SW_3,WSW_2,E_2,NE_2,NNW_2,WNW_1,S_1,SSE_1,SSW_2,NW_4,ESE_2,NE_3,WSW_3,ENE_3,NE_4,WNW_2,SW_4,NE_6,WSW_4,nan_0,E_3,NE_5,S_2,NNW_3,E_4,N_2,SSW_3,W_1,ESE_3,ENE_4,W_2,SE_2,ESE_5,SE_4,N_3,NNW_4,WNW_3,ESE_4,WNW_4,SSW_6,SE_3,N_5,ENE_5,ENE_7,WSW_5,SSW_4,SSE_3,S_3,SSE_2,ENE_6,WNW_5,N_4,WNW_6,SSW_5,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE_0,1.0,1.01,0.97,0.9,0.89,0.76,0.91,0.84,0.75,0.85,0.77,0.83,0.72,1.1,0.71,0.96,0.6,,,0.64,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.18,1.65,1.21,1.5,1.47,1.5,1.47,1.5,1.47,1.73,,1.65,1.17
E_0,0.99,1.0,1.04,0.9,0.9,0.89,0.93,0.81,0.86,0.79,0.84,0.8,0.74,0.75,0.94,1.01,0.7,0.64,,0.7,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.18,1.66,1.22,1.52,1.48,1.51,1.49,1.5,1.49,1.75,,1.66,1.2
NE_0,1.03,0.97,1.0,0.96,0.83,0.92,0.9,1.05,0.86,0.62,0.9,0.83,0.89,1.11,0.86,0.79,0.71,0.64,,,,,,,0.58,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.23,1.69,1.26,1.54,1.51,1.56,1.5,1.54,1.51,1.78,,1.69,1.24
ESE_0,1.12,1.11,1.04,1.0,0.83,0.96,0.85,0.77,0.87,0.85,0.79,0.88,0.74,0.96,0.89,0.89,,0.61,,,0.63,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,1.24,1.76,1.3,1.61,1.56,1.59,1.58,1.6,1.58,1.85,,1.76,1.27
SW_0,1.12,1.11,1.21,1.21,1.0,1.09,0.66,0.97,1.06,1.02,1.01,1.17,1.08,0.9,0.96,0.75,,,,,,,,,,0.64,,0.66,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.38,1.89,1.36,1.75,1.64,1.69,1.72,1.69,1.72,1.99,,1.86,1.47
SE_0,1.31,1.12,1.08,1.05,0.91,1.0,1.29,0.94,1.18,0.8,0.84,1.22,1.01,0.94,0.88,0.97,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,1.36,1.9,1.41,1.74,1.7,1.72,1.71,1.72,1.72,2.0,,1.91,1.36
N_0,1.1,1.08,1.11,1.17,1.51,0.77,1.0,0.85,1.15,,0.89,1.0,1.04,0.86,0.91,0.84,0.7,,,0.73,,,,,0.65,,,,,0.7,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.44,1.89,1.48,1.73,1.71,1.75,1.7,1.75,1.7,2.02,,1.91,1.42
SSW_0,1.19,1.24,0.96,1.29,1.03,1.06,1.17,1.0,1.02,1.07,,0.89,0.94,0.84,0.98,0.81,,,,,,,0.58,0.43,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,1.4,1.9,1.46,1.78,1.67,1.73,1.76,1.74,1.73,2.03,,1.92,1.43
NW_0,1.33,1.16,1.16,1.15,0.94,0.85,0.87,0.98,1.0,,0.95,1.04,0.97,1.08,0.95,0.91,,,,,,,,,,,,,,0.66,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.63,1.93,1.55,1.78,1.74,1.79,1.74,1.82,1.73,2.06,,1.97,1.45
S_0,1.18,1.27,1.62,1.17,0.98,1.25,,0.93,,1.0,1.11,,1.04,0.89,0.88,0.96,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,1.41,1.99,1.42,1.82,1.74,1.8,1.78,1.79,1.79,2.09,,2.03,1.28
NNW_0,1.3,1.19,1.12,1.27,0.99,1.19,1.12,,1.05,0.9,1.0,0.9,0.96,1.12,0.87,0.78,0.77,,0.58,,,0.85,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,1.62,1.96,1.68,1.82,1.79,1.83,1.79,1.85,1.78,2.11,,1.98,1.52
NNE_0,1.21,1.26,1.2,1.13,0.86,0.82,1.0,1.12,0.96,,1.11,,1.0,1.06,0.94,1.02,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,1.48,2.01,1.49,1.8,1.82,1.82,1.81,1.84,1.79,2.12,,2.01,1.5
