,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1.0,,,,,0.94,0.86,0.77,0.73,0.68,,1.02,0.86,0.44,0.4,,0.83,0.82,0.79,0.73,0.72,0.68,0.67,0.67,0.59,,1.02,0.84
TEMP_0_1,,1.0,,,,1.1,1.06,0.87,0.89,0.83,,1.24,,,,,1.0,0.98,0.95,0.88,0.87,0.8,0.81,,0.99,,1.24,1.03
TEMP_0_0,,,0.99,0.32,1.53,1.26,,0.92,0.96,0.9,1.53,,1.1,,,1.53,1.09,1.09,0.97,0.97,0.95,0.91,0.89,,0.8,1.53,1.33,1.06
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.07,0.91,0.81,,,1.0,,,1.03,0.73,,1.1,0.92,,,,0.88,0.88,0.85,0.79,0.78,0.73,0.73,0.7,0.65,,1.1,0.89
PRES_1_3,1.16,0.94,,,,,1.0,,,0.56,,1.18,0.98,0.52,0.46,,0.96,0.94,0.88,0.85,0.84,0.81,0.78,0.79,0.71,,1.19,0.97
PRES_1_1,1.26,1.12,0.98,0.46,,,1.06,0.99,1.21,1.03,,1.34,1.11,,0.73,,1.16,1.02,1.12,0.93,0.95,0.89,0.85,,1.01,,1.36,1.19
PRES_1_0,1.37,1.13,1.04,,1.1099999999999999,1.19,,0.9,1.0,0.93,1.1099999999999999,1.4,1.15,,,1.1099999999999999,1.04,1.2,1.02,1.05,1.41,0.91,0.97,,0.97,1.1099999999999999,1.37,1.16
PRES_0_0,1.46,1.21,1.11,,,1.75,1.07,0.91,1.02,1.0,,1.54,1.18,0.66,0.53,,1.23,1.12,1.2,1.01,0.77,0.84,0.93,,,,1.51,1.24
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.98,0.81,,,,0.91,0.85,0.73,0.71,0.66,,1.0,0.69,0.45,0.39,,0.8,0.8,0.76,0.71,0.7,0.66,0.65,0.67,0.63,,1.0,0.83
DEWP_0_1,1.17,0.95,0.9,0.41,1.35,1.12,0.98,0.88,0.87,0.83,1.35,1.08,1.0,,0.47,1.35,1.0,0.96,0.92,0.88,0.86,0.81,0.8,0.73,0.72,1.35,1.21,0.98
DEWP_0_0,2.25,,,,,,,,1.85,1.54,,,,1.0,0.9,,1.86,,,,,,,,,,2.09,1.89
DEWP_1_0,2.51,,,,,,,,,,,,,,1.0,,2.47,,,,,,,,,,2.27,2.46
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.21,1.0,0.86,,,1.14,1.04,0.82,0.87,0.76,,1.24,0.94,0.47,0.32,,0.99,1.14,,1.17,0.43,0.98,0.88,,,,1.24,0.94
WSPM_0_1,1.22,1.0,0.92,,1.23,1.16,1.03,0.9,0.85,0.83,1.23,1.24,1.04,,,1.23,0.84,1.0,0.8,0.92,0.88,0.87,0.85,0.85,0.95,1.23,1.23,1.02
WSPM_0_2,1.26,1.06,1.07,0.56,,1.15,1.12,0.87,0.94,0.64,,1.31,1.08,,,,,1.21,1.0,0.97,0.83,0.79,0.95,,,,1.35,0.96
WSPM_0_0,1.35,1.13,1.01,,,1.28,1.18,1.05,1.01,1.17,,1.4,1.13,,,,0.94,1.0,1.13,1.0,1.13,0.93,0.9,,1.21,,1.4,1.21
WSPM_1_2,1.39,1.15,1.05,,,1.32,1.19,1.11,1.13,1.45,,1.44,1.19,,,,1.96,1.15,1.08,0.98,1.0,0.9,0.76,,1.49,,1.41,3.32
WSPM_1_1,1.48,1.22,1.07,,,1.35,1.21,1.15,1.18,1.12,,1.51,1.21,,,,1.0,1.22,1.32,1.01,1.14,1.0,0.96,,,,1.51,1.58
WSPM_1_0,1.48,1.22,1.12,,,1.39,1.3,1.15,1.14,1.17,,1.53,1.25,,,,1.06,1.13,1.16,1.12,1.18,1.02,1.0,,,,1.51,1.25
WSPM_0_4,1.52,,,,,1.42,1.31,,,,,1.5,1.39,0.57,0.51,,,1.01,,,,0.8,0.55,1.0,,,1.52,1.21
WSPM_1_3,1.64,1.33,1.25,,,1.53,1.4,1.22,1.32,,,1.67,1.38,,,,,,,0.9,0.67,,0.79,,1.0,,1.59,2.95
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.98,0.81,0.73,0.36,0.75,0.91,0.84,0.72,0.74,0.7,0.75,1.0,0.82,0.53,0.66,0.75,0.78,0.83,0.73,0.73,0.76,0.68,0.67,0.65,0.69,0.75,1.0,0.82
PM10_1,1.18,0.98,0.91,,,1.11,1.03,0.84,0.83,0.77,,1.2,1.02,0.44,0.33,,1.03,0.83,1.0,0.75,0.24,0.66,0.72,0.78,0.34,,1.21,1.0
