,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.0,1.12,,,0.96,1.62,1.64,1.95,,,1.04,1.07,1.82,,1.06,1.67,1.86,2.0,2.28,2.52,5.51,,0.98,1.04,2.3
TEMP_0_0,0.89,1.0,,,0.87,1.37,1.52,1.7,,,0.89,0.93,1.57,,0.92,1.52,1.81,1.77,2.08,2.26,5.0,7.05,0.87,0.93,2.09
TEMP_1_1,,,1.0,,0.55,,0.95,,,,0.57,0.6,,4.55,0.59,0.93,1.04,1.1,1.29,1.39,,,0.55,0.57,1.26
TEMP_0_2,,,,1.0,,,,,1.1,2.79,,,0.47,,0.28,0.45,0.5,0.53,0.61,0.67,,,0.27,0.27,0.59
PRES_0_0,1.04,1.15,1.82,,1.0,1.61,,2.1,,,1.06,1.11,1.87,,1.1,1.77,1.98,2.1,2.48,2.64,5.04,9.17,1.02,1.08,2.38
PRES_1_0,0.63,0.73,,,0.62,1.0,,,,,0.68,0.66,1.13,,0.68,1.04,1.22,1.23,1.37,1.59,3.78,,0.62,0.68,1.55
PRES_0_1,0.61,0.63,1.05,,,,1.0,,,,0.61,0.63,,4.81,0.61,0.99,1.11,1.16,1.37,1.47,3.27,,0.58,0.61,1.33
PRES_1_1,0.52,0.59,,,0.48,,,1.0,,,0.48,0.56,0.92,,0.54,0.88,1.0,1.03,1.18,1.34,3.33,,0.52,0.54,1.25
PRES_1_3,,,,0.92,,,,,1.0,,,,0.43,,0.26,0.41,0.47,0.49,0.56,0.62,,,0.24,0.25,0.55
PRES_1_2,,,,0.36,,,,,,1.0,,,0.16,,0.1,,,,,,,,,0.09,
DEWP_1_0,0.97,1.09,1.74,,0.94,1.48,1.65,2.01,,,1.0,1.03,,,1.03,1.61,1.81,1.83,2.27,2.41,,,0.94,1.01,2.18
DEWP_0_0,0.94,1.06,1.67,,0.9,1.51,1.6,1.8,,,0.97,1.0,,,0.98,1.61,1.84,1.95,2.15,2.46,5.7,7.84,0.93,0.98,2.33
DEWP_0_1,0.55,0.64,,2.17,0.54,0.89,,1.09,2.35,6.46,,,1.0,,0.6,0.96,1.09,1.13,1.31,1.42,3.18,,0.56,0.59,1.29
DEWP_1_1,,,0.21,,,,0.2,,,,,,,1.0,0.12,0.19,0.19,,0.32,,,,0.11,0.11,
WSPM_0_1,0.94,1.09,1.68,3.59,0.91,1.47,1.62,1.84,3.89,10.58,0.96,1.02,1.67,7.68,1.0,1.7,1.61,1.96,2.31,,,,0.94,0.97,2.1
WSPM_0_0,0.59,0.65,1.07,2.2,0.57,0.94,1.0,1.12,2.43,,0.6,0.61,1.04,,0.58,1.0,1.24,1.09,1.35,1.5,,,0.58,0.61,1.26
WSPM_1_1,0.54,0.56,0.95,1.96,0.5,0.79,0.88,1.0,2.14,,0.55,0.55,0.9,,0.61,0.82,1.0,1.62,1.03,1.38,,,0.5,0.56,1.3
WSPM_1_2,0.51,0.57,0.91,1.79,0.48,0.8,0.86,0.98,2.05,,0.56,0.54,0.88,,0.51,0.88,0.6,1.0,1.47,,,,0.49,0.54,1.45
WSPM_1_0,0.43,0.48,0.78,1.65,0.41,0.74,0.73,0.83,1.77,,0.44,0.47,0.77,,0.43,0.75,1.0,0.79,1.0,1.12,,,0.43,0.45,1.08
WSPM_0_2,0.4,0.45,0.75,1.48,0.38,0.62,0.71,0.75,1.62,,0.41,0.41,0.7,,,0.61,0.73,,0.95,1.0,,,0.38,0.42,0.89
WSPM_1_3,0.19,0.2,,,0.2,0.26,0.31,0.3,,,,0.19,0.31,,,,,,,,1.0,,0.17,0.21,
WSPM_0_3,0.1,0.14,,,0.11,,,,,,,0.13,,,,,,,,,,1.0,,0.13,0.25
PM10_0,1.02,1.15,1.82,3.78,0.98,1.64,1.72,1.95,4.17,,1.05,1.08,1.78,8.64,1.07,1.73,2.05,2.07,2.36,2.67,6.06,,1.0,1.06,2.96
PM10_1,0.95,1.07,1.73,3.64,0.92,1.46,1.64,1.85,3.91,10.65,0.98,1.02,1.67,8.25,1.01,1.61,1.72,1.91,2.23,2.33,4.48,7.97,0.96,1.0,2.09
PM10_2,0.44,0.48,0.78,1.62,0.43,0.67,0.74,0.77,1.84,,0.46,0.45,0.79,,0.46,0.68,0.79,0.74,0.93,1.11,,4.09,0.31,0.45,1.0
