,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,0.95,,,,,0.94,0.9,0.92,0.84,0.74,,1.03,0.97,0.47,0.37,,0.86,0.85,0.85,0.69,0.76,0.69,0.59,0.67,0.64,,1.03,0.84
TEMP_0_1,,0.82,,,,1.39,1.07,0.88,0.94,0.86,,1.24,,,,,1.11,1.07,0.95,0.84,0.89,0.82,0.73,,1.13,,1.29,1.03
TEMP_0_0,,,0.76,,,1.41,,0.99,0.87,0.83,,,0.94,,,,1.3,1.09,1.19,0.91,1.09,0.88,0.79,,0.94,,1.43,1.14
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.08,1.11,0.92,,,0.9,,,,1.16,,1.12,1.01,,,,0.92,0.91,0.94,0.72,0.82,0.7,0.62,0.86,0.79,,1.1,0.96
PRES_1_3,1.22,0.98,,,,,0.84,,,,,1.22,1.2,0.61,0.45,,1.13,1.04,0.93,0.85,0.9,0.85,0.72,0.73,0.73,,1.25,0.95
PRES_1_1,1.61,1.11,1.05,0.34,,,,0.75,,1.38,,1.62,1.1,,0.62,,1.22,1.22,1.26,0.92,0.95,1.02,0.83,,1.01,,1.44,1.26
PRES_1_0,1.63,1.27,0.99,,,,,,0.75,0.83,,1.57,1.22,,,,1.31,1.14,1.11,1.01,1.61,0.99,0.83,,1.09,,1.48,1.23
PRES_0_0,1.7,1.43,1.13,,,2.64,,1.39,0.96,0.71,,1.71,1.37,0.56,,,1.29,1.28,1.37,1.23,1.03,0.95,1.06,,,,1.7,1.13
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.99,0.81,,,,0.94,0.87,0.86,0.76,0.69,,0.96,,,0.5,,0.83,0.83,0.78,0.66,0.75,0.65,0.57,0.74,0.72,,1.0,0.81
DEWP_0_1,1.34,,0.76,0.34,,1.23,1.22,0.86,0.87,0.83,,,0.83,,0.5,,1.21,0.97,1.12,0.83,0.85,0.83,0.72,0.82,0.73,,1.25,1.03
DEWP_0_0,2.5,,,,,,,,,1.24,,,,0.51,0.51,,1.8,,,,,,,,,,3.03,2.04
DEWP_1_0,2.85,,,,,,,,,,,,,,0.5,,2.46,,,,,,,,,,,2.43
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.28,1.13,1.08,,,1.2,1.24,0.94,0.99,0.78,,1.29,1.26,0.51,0.34,,0.82,1.73,,2.06,,,1.03,,,,1.36,0.9
WSPM_0_1,1.31,1.13,0.97,,,1.24,1.18,1.08,0.87,0.8,,1.34,1.09,,,,1.73,0.82,1.59,1.11,1.09,0.88,0.75,,,,1.26,1.17
WSPM_0_2,1.41,1.09,1.22,,,1.34,1.19,1.12,1.01,0.83,,1.37,1.35,,,,,1.78,0.78,1.44,,0.99,1.08,,,,1.42,0.99
WSPM_0_0,1.53,1.28,1.09,,,1.38,1.4,1.12,1.09,1.27,,1.53,1.25,,,,1.38,1.3,1.57,0.77,1.35,0.82,0.68,,1.21,,1.46,1.44
WSPM_1_2,1.54,1.24,1.28,,,1.42,1.35,1.09,1.49,1.48,,1.6,1.23,,,,,1.51,,0.9,0.74,1.28,0.86,,,,1.46,3.22
WSPM_1_1,1.68,1.39,1.24,,,1.51,1.47,1.32,1.26,1.23,,1.67,1.45,,,,,1.49,1.68,0.84,1.12,0.72,0.72,,,,1.6,2.17
WSPM_1_0,1.67,1.43,1.27,,,1.54,1.55,1.32,1.2,1.23,,1.69,1.43,,,,1.58,1.33,1.27,0.91,1.62,1.24,0.77,,,,1.6,1.62
WSPM_0_4,1.56,,,,,1.76,1.24,,,,,1.75,1.44,0.61,0.5,,,,,,,,,0.68,,,1.9,1.11
WSPM_1_3,1.8,1.83,1.51,,,1.92,1.49,1.43,1.34,,,2.02,1.43,,,,,,,1.14,,,,,0.65,,1.77,2.6
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.0,0.86,0.8,0.33,0.6900000000000001,0.93,0.91,0.78,0.76,0.73,0.6900000000000001,1.02,0.87,0.51,,0.6900000000000001,0.88,0.81,0.8,0.63,0.72,0.63,0.56,0.82,0.69,0.6900000000000001,0.97,0.95
PM10_1,1.27,1.07,1.0,,,1.28,1.05,1.03,0.89,0.75,,1.28,1.14,0.57,0.33,,0.98,1.05,1.01,1.09,0.65,0.94,0.79,0.73,0.6,,1.46,0.84
