,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.56,0.37,0.99,0.71,0.43,0.86,0.78,0.64,0.71,0.56,0.59,0.64,0.53,0.97,0.64
PRES_0_1,1.0,1.0,,,0.99,0.71,0.45,0.86,0.78,0.64,0.71,0.56,0.59,0.64,0.54,0.97,0.64
PRES_0_0,2.42,,0.59,,2.37,,,2.09,1.61,,,1.4,,,0.86,2.31,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.56,0.37,0.99,,,0.88,0.78,0.66,0.71,0.57,0.63,0.64,0.52,0.99,0.65
DEWP_1_0,1.66,1.65,,,,0.72,0.38,1.31,2.21,1.05,,0.94,0.8,,,1.62,1.2
DEWP_0_0,3.28,3.15,,,,,0.55,2.92,,1.39,,,1.38,,,3.14,
WSPM_0_1,1.19,1.18,0.7,,1.18,0.77,0.44,0.9,1.61,0.9,,0.72,0.66,,,1.16,0.75
WSPM_0_2,1.41,1.42,0.63,0.37,1.38,1.33,,2.09,0.8,1.27,,0.98,,,,1.36,0.86
WSPM_0_0,1.57,1.56,,,1.55,1.09,,1.39,1.42,0.78,1.53,0.7,1.08,,0.87,1.51,0.99
WSPM_0_3,1.63,1.62,,,1.58,,,,,1.64,0.73,1.15,,,,1.59,0.96
WSPM_1_0,1.66,1.65,,,1.64,1.18,,1.43,1.47,0.9,1.47,0.81,1.38,,,1.59,1.2
WSPM_1_1,1.86,1.85,,,1.89,1.14,0.66,1.98,,0.85,,0.86,0.7,,,1.77,1.37
WSPM_0_4,1.91,1.9,,,1.86,,,,,,,,,0.66,,1.88,1.38
WSPM_1_2,2.45,2.44,,,2.41,,,,,1.53,,,,,0.59,2.35,
PM10_0,1.03,1.03,0.56,0.37,1.01,0.73,0.44,0.88,0.8,0.67,0.74,0.58,0.61,0.67,0.53,0.98,0.72
PM10_1,1.62,1.61,,,1.59,1.3,,1.42,1.33,0.9,1.04,0.77,0.88,1.15,,1.69,0.76
