,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.68,,0.99,0.79,0.6,0.92,0.86,0.82,0.8,0.8,0.76,0.75,0.67,0.99,0.8
PRES_0_1,1.0,1.0,,,0.99,0.79,0.64,0.93,0.86,0.82,0.8,0.8,0.76,0.75,0.69,0.99,0.8
PRES_0_0,1.8,,0.52,,1.78,,,1.72,1.3,,,,,,0.82,1.73,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.68,,0.99,,,0.94,0.85,0.83,0.8,0.81,0.79,0.74,0.67,1.0,0.81
DEWP_1_0,1.41,1.41,,,,0.68,,1.2,1.86,1.15,,1.11,0.9,,,1.4,1.3
DEWP_0_0,2.15,2.2,,,,,0.45,,,,,,1.05,,,2.07,
WSPM_0_1,1.12,1.12,0.79,,1.13,0.82,,0.89,,,,1.05,0.98,,,1.11,0.89
WSPM_0_2,1.26,1.27,0.71,,1.23,1.46,,,0.77,,,1.35,,,,1.25,0.98
WSPM_0_0,1.36,1.35,,,1.34,1.06,,,,0.78,,0.8,1.27,,,1.33,1.15
WSPM_0_3,1.39,1.38,,,1.35,,,,,,0.69,1.51,,,,1.39,1.0
WSPM_1_0,1.41,1.41,,,1.4,1.12,,1.39,1.53,0.91,1.68,0.88,,,,1.38,1.26
WSPM_1_1,1.52,1.51,,,1.56,1.01,0.66,2.47,,1.04,,,0.65,,,1.48,1.45
WSPM_0_4,1.55,1.54,,,1.51,,,,,,,,,0.61,,1.55,1.36
WSPM_1_2,1.81,1.84,0.84,,1.8,,,,,,,,,,0.52,1.74,
PM10_0,1.02,1.02,0.67,,1.01,0.81,0.6,0.94,0.87,0.84,0.82,0.82,0.76,0.77,0.67,0.99,1.05
PM10_1,1.39,1.38,,,1.36,1.26,,1.3,1.25,1.06,1.02,1.0,1.18,1.13,,1.76,0.74
