,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,0.9,1.09,,,,,0.94,1.06,0.88,0.98,,,,1.02,0.9,1.11,1.36,1.38,,0.98,0.97,1.04,0.85,0.65,0.56,0.66,0.63,0.71,,1.24,0.91
TEMP_0_0,1.09,0.89,,,,,1.08,0.92,0.95,0.91,,,,1.16,0.87,1.48,0.84,0.76,,0.96,0.99,0.9,1.06,0.66,0.56,0.61,0.65,0.54,,1.23,0.91
TEMP_1_1,,,0.83,,,,1.1,,1.07,,0.7,,,1.51,2.27,0.86,,,,1.2,1.03,1.23,1.21,0.75,0.61,0.78,1.03,,,1.42,1.27
TEMP_0_2,,,,0.75,,,1.96,,,1.14,,0.74,,1.85,1.34,,,0.95,,2.04,1.61,1.64,1.05,0.96,0.86,0.98,0.98,,,1.89,1.42
TEMP_0_1,,,,,0.74,,2.54,1.95,2.29,1.12,,0.94,,4.21,,,0.91,,,2.01,1.84,1.28,,1.1,1.05,1.02,1.13,0.61,,2.07,1.42
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.05,1.18,0.94,1.42,1.15,0.95,0.87,1.56,1.03,1.32,,,0.95,1.13,1.13,0.95,1.18,1.27,0.95,1.11,1.0,1.07,0.92,0.69,0.6,0.67,0.62,0.58,0.95,1.31,0.94
PRES_1_1,1.14,0.98,,,0.9,,1.54,0.87,1.61,,,,,1.23,0.94,,0.84,0.77,,1.02,1.0,0.95,1.18,0.7,0.59,0.67,0.74,0.61,,1.3,0.98
PRES_1_0,1.09,1.19,1.21,,,,1.14,2.03,0.84,,,,,1.21,1.07,1.15,1.26,,,1.11,1.16,1.09,0.97,0.77,0.62,0.82,0.81,0.93,,1.4,1.18
PRES_1_2,1.47,1.38,,0.86,0.78,,2.84,,,0.8,,,,1.53,1.11,,0.98,,,1.36,1.47,1.29,1.14,0.82,0.76,0.78,0.84,0.68,,1.65,1.22
PRES_0_1,,,1.09,,,,,,,,0.73,,,,,1.07,,,,1.45,1.35,,,0.94,0.78,1.0,,,,1.88,1.51
PRES_1_3,,,,0.84,1.0,,,,,,,0.73,,2.53,1.54,,1.25,0.96,,2.11,1.57,1.45,1.3,1.07,0.94,0.99,1.1,0.63,,2.0,1.5
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.89,0.98,1.06,0.8,1.32,0.69,0.88,1.0,0.83,0.89,,0.88,0.69,0.92,1.0,,,,0.69,0.91,0.96,0.87,0.77,0.65,0.54,0.58,0.56,,0.69,1.16,0.82
DEWP_0_0,1.2,1.07,2.04,0.93,,,1.44,1.17,1.12,0.9,,1.0,,1.41,0.84,,,,,1.2,1.07,1.21,1.22,0.72,0.63,0.74,0.75,0.63,,1.42,1.25
DEWP_1_1,1.44,1.99,0.88,,,,1.12,,1.09,,0.7,,,,,0.82,,,,1.21,1.02,1.54,1.21,0.75,0.61,0.78,1.04,,,1.44,1.18
DEWP_0_2,2.09,1.47,,,0.7,,1.78,1.31,1.57,1.09,,0.9,,,,,0.78,,,1.44,1.61,1.13,,0.92,0.82,0.84,0.91,0.58,,1.75,1.25
DEWP_0_1,2.09,1.38,,0.87,,,1.77,1.3,,,,0.79,,,,,,0.77,,1.49,1.49,1.38,1.24,0.87,0.82,0.87,0.78,0.66,,1.75,1.38
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.12,1.13,1.11,1.01,1.09,,1.04,1.15,1.07,0.98,0.82,0.92,,1.18,1.22,1.08,0.95,0.93,,0.86,2.11,1.18,,0.75,0.74,0.58,,,,1.35,0.95
WSPM_0_1,1.18,1.13,0.98,1.0,1.24,,1.12,1.17,1.0,1.12,0.81,0.91,,1.31,0.95,0.94,1.28,1.03,,0.96,0.86,1.38,1.69,0.8,0.54,0.83,0.9,,,1.33,1.12
WSPM_0_3,1.24,1.23,1.32,1.11,0.73,,1.14,1.18,1.13,1.09,,0.87,,1.28,1.25,1.43,0.88,1.04,,3.68,1.99,0.83,,0.93,0.85,0.9,,,,1.51,0.96
WSPM_0_4,1.3,1.51,1.37,0.84,,,1.24,1.57,1.15,1.19,,0.87,,1.34,1.46,1.41,,1.13,,,2.06,,0.8,1.16,1.07,1.16,,,,1.69,1.08
WSPM_0_0,1.7,1.6,1.45,1.27,1.09,,1.91,1.72,1.49,1.26,1.17,1.36,,1.94,1.35,1.52,1.28,1.34,,2.04,1.39,1.67,1.96,0.77,0.68,0.93,0.99,,,1.86,2.28
WSPM_1_0,1.8,1.78,1.54,1.42,1.34,,1.76,1.81,1.69,1.43,1.34,1.47,,1.94,1.41,1.56,1.45,1.62,,1.64,1.45,2.0,2.04,0.92,0.81,1.22,1.37,,,2.0,2.11
WSPM_1_1,1.77,1.72,1.83,1.56,1.64,,2.35,1.73,1.67,1.56,1.44,1.39,,2.75,1.4,1.98,1.57,1.32,,3.3,1.33,1.9,,0.93,0.83,0.74,,,,2.11,3.74
WSPM_1_2,2.08,1.66,2.26,1.43,1.47,,2.23,1.68,1.73,1.59,,1.4,,3.3,1.37,2.21,1.55,1.26,,,1.67,,,0.88,1.05,,0.71,,,2.15,
WSPM_1_3,2.55,2.77,,,1.32,,2.48,2.43,2.16,1.89,,1.68,,,2.14,,1.65,1.58,,,,,,1.49,,,,0.63,,2.84,2.91
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.85,0.84,0.76,0.68,0.66,0.86,0.83,0.86,0.75,0.73,0.63,0.66,0.86,0.94,0.75,0.76,0.73,0.69,0.86,0.8,0.75,0.81,0.78,0.53,0.44,0.52,0.55,0.46,0.86,0.97,0.84
PM10_1,1.13,1.15,1.28,0.85,0.8,,1.05,1.12,1.08,1.03,0.99,0.76,,1.16,1.1,1.22,0.91,0.96,,1.14,1.27,0.95,0.88,0.59,0.59,0.5,,,,1.5,0.86
