,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.99,0.12,0.09,0.96,0.31,0.19,0.99,0.59,1.45,0.37,2.24,0.87,0.23,0.27,1.12,1.25,0.66
PRES_0_1,1.0,1.01,,,0.96,0.31,0.19,0.99,0.57,1.47,0.38,2.25,0.88,0.24,0.25,1.12,1.26,0.67
PRES_0_0,1.0,,8.14,,1.05,,,0.99,1.66,0.53,,2.11,,,0.79,1.22,0.58,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,0.99,0.12,0.1,1.04,0.02,,0.96,0.63,1.44,0.41,2.25,0.76,0.25,0.28,1.13,1.27,0.67
DEWP_1_0,0.98,0.99,,,,3.46,0.72,1.42,0.11,1.57,,2.26,2.08,,,1.06,1.09,0.33
DEWP_0_0,0.82,0.62,,,,2.16,10.8,0.63,,1.47,,1.77,2.23,,,1.0,1.29,3.82
WSPM_0_1,1.0,0.99,0.1,,0.91,0.45,0.2,1.5,0.23,1.66,0.08,2.81,1.01,0.02,0.12,1.14,1.24,0.63
WSPM_0_2,1.0,0.98,0.29,0.5,1.03,0.04,,0.31,2.29,0.74,0.08,1.43,0.14,,0.1,1.14,1.14,0.34
WSPM_0_0,0.99,1.0,,,0.95,0.36,0.39,1.1,0.19,2.53,0.11,3.14,1.22,,0.41,1.13,1.3,0.93
WSPM_0_3,1.0,1.01,,,1.05,,,0.09,0.17,0.5,3.25,0.84,,,,1.03,1.41,1.22
WSPM_1_0,1.0,0.99,,,0.95,0.33,,1.09,0.29,2.01,0.13,2.61,0.9,,0.15,1.12,1.27,0.91
WSPM_1_1,1.0,1.01,,,0.81,0.83,0.78,1.17,0.23,1.7,,2.02,3.86,,0.33,1.11,1.42,0.78
WSPM_0_4,1.0,1.01,,,1.05,,,0.18,,,,0.51,,4.87,,1.03,1.21,
WSPM_1_2,1.0,0.91,,,1.05,,,0.76,,1.56,,1.61,0.88,,7.86,1.22,1.02,
PM10_0,1.0,0.99,0.17,0.14,0.95,0.34,0.25,1.01,0.59,1.51,0.31,2.31,0.96,0.23,0.38,1.21,1.03,0.42
PM10_1,1.0,1.0,,,0.99,0.19,0.08,0.94,0.61,1.3,0.5,2.09,0.71,0.18,,1.0,1.78,1.07
PM10_2,1.0,1.01,,,1.02,,,0.96,,1.35,0.8,2.26,,,,0.91,1.81,7.36
